"序
号",储存介质,"最大储量
（t）",防火分区面积,总面积,备注
1,硼氢化钾,5,甲4项，39.8m3,175.9m3,易制爆
2,四氢呋喃,6,甲1项，38.4m3,,易燃液体
,氯苯,3,,,
3,雷尼镍,2,甲3项，19.2m3,,
