"序
号",检查内容,检查依据,"检查
结果",备注
1,"生产设备及其零部件，必须有足够的强
度、刚度、稳定性和可靠性。在按规定
条件制造、运输、贮存、安装和使用时，
不得对人员造成危险。","GB5083-1999
第4.1条",符合,"设备及管道有足够的
强度、刚度、稳定性
和可靠性。"
2,"设备、管道、阀门、法兰、仪表等无跑、
冒、滴、漏及腐蚀现象。","《化工企业安全
管理制度》",符合,"无跑、冒、滴、漏及
腐蚀现象。"
3,"化工区的工业废水和生活污水排出口，
应布置在当地生活饮用水取水口的下
游，其距离应符合水源卫生保护的有关
要求。","GB50489 -2009
第4.1.14条",符合,"废水排出口位置符合
要求。"
4,"储存含有挥发性有毒、有害物污水的设
施应加盖，并应对废气进行妥善处理。
（含易燃物）","GB50684-2011
第5.2.6条",符合,"高浓废水池已加盖；
设置有废气吸收管
道。"
