,,,,苯扎贝特,常压蒸馏回收,"8 号楼内苯扎贝特酰
化工段",8号楼,0.6,回收罐,
5,丙酮,137,1980,苯扎贝特,"常压蒸馏、常
压精馏回收","7 号楼内苯扎贝特缩
合工段",7号楼,1,回收罐,溶剂回收
6,甲醇,1022,1590,10-甲氧基亚氨芪,"常压蒸馏、常
压精馏回收","10-甲氧基亚氨芪溴
化车间、10 号楼 10-
甲氧基亚氨芪水解","10-甲氧基亚
氨芪溴化车
间、10号楼","5（溴化车
间）、5（10
号楼）",回收罐,溶剂回收
7,氯苯,1414,1350,10-甲氧基亚氨芪,"减压蒸馏回
收、萃取","10-甲氧基亚氨芪溴
化车间","10-甲氧基亚
氨芪溴化车
间",7.7,回收罐,溶剂回收
