,,,,,亚氨基二苄,,"10 号楼内亚氨基二苄精制
工段、7 号楼东亚氨基二苄
精制回收工段",
,,,,,格列齐特,,"8 号楼内格列齐特酰亚胺还
原、亚油还原工段",
,,,,,普瑞巴林,,7号楼内普瑞巴林生产工段,
2,乙醇,5775,,2568,亚氨基二苄,,"3 号楼内亚氨基二苄浓缩工
段",
,,,,,格列齐特,,"8 号楼内格列齐特亚油还原
工段",
3,四氢呋喃,540,,2071,格列齐特,,"8 号楼内格列齐特酰亚胺还
原、亚油还原工段",
4,乙酸乙酯,1410,,2651,格列齐特,,9号楼内格列齐特缩合工段,
,,,,,苯扎贝特,,8号楼内苯扎贝特酰化工段,
5,丙酮,1980,,137,苯扎贝特,,7号楼内苯扎贝特缩合工段,
6,甲醇,1590,,1022,10-甲氧基亚氨芪,,"10号楼10-甲氧基亚氨芪水
解工段、10-甲氧基亚氨芪
溴化车间",
7,氯苯,1350,,1414,10-甲氧基亚氨芪,,10-甲氧基亚氨芪溴化车间,
企业取证情况,,,,,,,,
名称,,,发证单位,,,证号,,有效期
安全生产标准化证书,,,台州市应急局,,,台AQBWHⅢ202200026,,2025.05
排污许可证,,,台州市生态环境局,,,"91331002MA2AKJTT2G0
01P",,2025.12.22
重大危险源备案登记表,,,台州市椒江区应急局,,,BA浙331002[2023]003,,2026.12.13
应急预案备案登记表,,,台州市椒江区应急局,,,3310022023022,,2026.09.14
危险化学品登记证,,,国家化学品登记中心,,,331010269,,2024.05.03
"防雷防静电检测报告
（各车间、仓库、储罐区等）",,,浙江防雷安全检测有限公司,,,ZJJ202313493,,2024.05.18
"电气防爆安全检测报告（10
号楼及相关低压配电房）",,,"温州警诚电气消防设施安全
检测有限公司",,,2022JC/FBJ-03030,,2025.03.20
"电气防爆安全检测报告（各车
间、罐区泵棚、甲类仓库及相
关低压配电房）",,,"温州警诚电气消防设施安全
检测有限公司",,,2023JC/FBJ-06009,,2026.06.01
"电气防爆安全检测报告（三废
设施及相关低压配电房）",,,"温州警诚电气消防设施安全
检测有限公司",,,2023JC/FBJ-06008,,2026.06.01
建筑消防设施检测报告,,,浙江安科工程检测有限公司,,,ZJJZ202303NO.00228,,"报告日期：
2023.03.03"
建筑电气消防安全检测报告,,,浙江安科工程检测有限公司,,,23DNJ005,,"报告日期：
2023.03.03"
易制爆库安防系统检测,,,浙江大合检测有限公司,,,DH2022-NJ02-121,,"报告日期：
2022.08"
