序名,设备名称,规格型号,安装位置,设备编号,备注
50,方箱,1000L,废水处理中心,02-V113,PP
51,立式储罐,500L,废水处理中心,02-V114,不锈钢
52,方箱,3000*4500*4000,废水处理中心,02-V119,碳钢
53,方箱,800*800*800,废水处理中心,02-V120,不锈钢
54,立式储罐,35m³,废水处理中心,02-V123,碳钢
55,立式储罐,35m³,废水处理中心,02-V124,碳钢
56,方箱,2000*1200*1500,废水处理中心,02-V125,碳钢
57,方箱,14000*2500*4000,废水处理中心,02-V130,碳钢
58,MBR池（方箱）,2500*1600*4000,废水处理中心,02-V131,碳钢
59,方箱,,废水处理中心,02-V132,碳钢
60,立式储罐,1500L,废水处理中心,02-V133,碳钢
61,"防爆节能型玻璃钢
离心风机",BTF-181B-4KW,废水处理中心,02-C105,
62,焊接式板式换热器,80㎡,废水处理中心,02-E101,不锈钢
63,焊接式板式换热器,80㎡,废水处理中心,02-E102,不锈钢
64,焊接式板式换热器,80㎡,废水处理中心,02-E103,不锈钢
65,电动行车,HB 0.5T-6M固定式,废水处理中心,02-L101,
66,潜水搅拌机,QWJ,废水处理中心,02-M103,不锈钢
67,潜水搅拌机,QJB5/12-620/3-489S,废水处理中心,02-M104,不锈钢
68,潜水搅拌机,"QJB5/12-620
/3-480S",废水处理中心,02-M105,不锈钢
69,潜水搅拌机,QJB5/12-620/3-489S,废水处理中心,02-M106,不锈钢
70,摆线针轮减速机,BLY15,废水处理中心,02-M109,
71,摆线针轮减速机,BLD10-11-0.75,废水处理中心,02-M110,
72,隔膜泵,6661T3-3EB-C,废水处理中心,02-P103,
73,气动隔膜泵,QBK-40F,废水处理中心,02-P104,
74,气动隔膜泵,QBK-40F,废水处理中心,02-P114,
75,自吸泵,B65ZW30-18,废水处理中心,02-P124,不锈钢
76,自吸无堵塞排污泵,B65ZW30-18,废水处理中心,02-P129,不锈钢
77,自吸无堵塞排污泵,B50ZW15-30P,废水处理中心,02-P136,不锈钢
78,循环式真空泵,SHZ-DIII,废水处理中心,02-P142,组合件
79,循环式真空泵,SHZ-DIII,废水处理中心,02-P147,组合件
80,储罐,1000L,废水处理中心,02-V112,不锈钢
81,不锈钢导流桶,Φ1100*2000*8,废水处理中心,02-V126,不锈钢
82,不锈钢导流桶,,废水处理中心,02-V127,不锈钢
83,活性碳混配罐,立式1000L,废水处理中心,02-V128,碳钢
84,"电热恒温鼓风干燥
箱",DHG-9076A,废水处理中心,02-X101,
85,储罐,10000L,废水处理中心,02-V117,PP
86,储罐,5000L,废水处理中心,02-V118,
