"序
号",原辅料名称,"年用量
（t/a）","最大储量
（t）","周转天
数（D）","主要储存
地点","贮存
方式",备注
1,盐酸酪胺,65,8,25,仓库一,袋装,
2,对氯苯甲酰氯,45.5,8,24,综合仓库,桶装,
3,片碱,189.3,15,15,仓库一,袋装,
4,试剂盐酸,62.5,10,23,仓库三,桶装,
5,碳酸氢钠,24.9,3,23,仓库一,袋装,
6,丙酮,354,34,26,储罐区,储罐,
7,乙酸乙酯,90,38,40,储罐区,储罐,
8,氯仿,141.6,64,85,储罐区,储罐,
9,亚硝酸钠,60,8,37,甲类仓库,袋装,
10,酰亚胺,60,8,40,仓库一,袋装,
11,氯化锌,120,12,26,仓库一,袋装,
