序名,设备名称,规格型号,安装位置,设备编号,备注
105,磷酸滴加罐,150L,四楼,062-V502-3,不锈钢(S310603)
106,磷酸滴加罐,150L,四楼,062-V502-4,不锈钢(S310603)
107,磷酸滴加罐,150L,四楼,062-V502-5,不锈钢(S310603)
108,磷酸滴加罐,150L,四楼,062-V502-6,不锈钢(S310603)
109,磷酸滴加罐,150L,四楼,062-V502-7,不锈钢(S310603)
110,磷酸滴加罐,150L,四楼,062-V502-8,不锈钢(S310603)
111,磷酸滴加罐,150L,四楼,062-V502-9,不锈钢(S310603)
112,磷酸滴加罐,150L,四楼,062-V502-10,不锈钢(S310603)
113,磷酸滴加罐,150L,四楼,062-V502-11,不锈钢(S310603)
114,磷酸滴加罐,150L,四楼,062-V502-12,不锈钢(S310603)
6号楼二车间（精环）,,,,,
1,"节能玻璃钢离心风
机",BTF-151B-3KW,一楼,061-C502,
2,升降机,BDH0.5t-6m,一楼,061-L803,
3,真空缓冲罐,300L,一楼,061-V819-1,不锈钢
4,真空缓冲罐,300L,一楼,061-V819-2,不锈钢
5,储罐,300L,一楼,061-V820-1,不锈钢(S31603)
6,储罐,300L,一楼,061-V820-2,不锈钢
7,氮气缓冲罐,300L,一楼,061-V823-1,Q235B
8,氮气缓冲罐,300L,一楼,061-V823-2,Q235B
9,蒸汽水收集罐,500L,一楼,061-V824,搪玻璃
10,冷却罐,600L,一楼,061-V825,S30408 Q235-B
11,过滤洗涤干燥机,GXG2600,一楼,061-X807-1,S30408，Q235-B
12,过滤洗涤干燥机,GXG2600,一楼,061-X807-2,S30408，Q235-B
13,摇摆式颗粒机,YK-160,一楼,061-X808-1,不锈钢
14,摇摆式颗粒机,YK-160,一楼,061-X808-2,不锈钢
15,淋洗罐,1000L,二楼,061-V816,不锈钢
16,储罐,300L,二楼,061-V818-1,304
17,储罐,300L,二楼,061-V818-2,304
18,储罐,200L,二楼,061-V827-1,不锈钢
19,储罐,150L,二楼,061-V827-2,不锈钢
7号楼二车间（精环）,,,,,
20,玻璃钢风机,BTF-151B-3kw,一楼,071-C801,
21,升降机,BDH0.5t-9m,一楼,071-L801,组合件
22,尾气吸收塔,11000×1200,一楼,071-T801,PP
23,甲苯储罐,1000L,一楼,071-V801,不锈钢
24,真空缓冲罐,500L,一楼,071-V803,不锈钢
25,地槽,2000*1000*1000,一楼,071-V804,不锈钢
26,立式空压储罐,300L,一楼,071-V805,碳钢
