,"全管理制度，动火、进入受限空间、吊装、
高处、盲板抽堵、动土、断路、设备检维修
等作业安全管理制度，危险化学品安全管理
制度，职业健康相关管理制度，劳动防护用
品使用维护管理制度，承包商管理制度，安
全管理制度及操作规程定期修订制度，设
施、设备的维护、保养、检测管理制度，危
险作业的现场管理制度，安全生产台帐的管
理制度，关键装置与重点部位管理制度，装
置开停车安全管理制度，自动化安全控制系
统管理和维护制度，安全管理制度执行情况
检查制度。",,,
13,"是否根据生产工艺、技术、设备、自动化控
制特点和原辅料、产品危险性等实际情况，
编制岗位安全操作规程和制定符合有关标
准规定的作业安全规程。","制定的安全操作规程
适合企业要求。",符合,
四、安全管理机构和人员条件,,,,
14,"是否依法设置安全生产管理机构，配备专职
安全生产管理人员。从业人员超过五十人的
企业，应当配备不少于两名的专职安全生产
管理人员。","设置安全生产管理机
构，配备专职安全生产
管理人员10人。",符合,
15,"企业主要负责人、分管安全负责人和安全生
产管理人员是否依法参加安全生产培训，并
经考核合格，取得安全资格证书。",有上岗证书。,符合,
16,"企业分管安全负责人、分管生产负责人、分
管技术负责人应当具有一定的化工专业知
识或者相应的专业学历。","具有化工生产专业知
识。",符合,
17,"专职安全生产管理人员应当具备国民教育
化工化学类（或安全工程）中等职业教育以
上学历或者化工化学类中级以上专业技术
职称，或者具备危险物品安全类注册安全工
程师资格。","中专以上学历，化工相
关专业，取得安全资格
证。",符合,
18,"特种作业人员是否依照规定经专门的安全
技术培训考核合格，取得特种作业操作证
书。",取证上岗。,符合,
19,"企业其他从业人员是否按照国家有关规定，
经安全教育和培训并考核合格。并应建立相
应台帐。",企业内部培训。,符合,
五、重大危险源管理,,,,
20,"是否依据《危险化学品重大危险源辨识》
(GB18218)，辨识、确定本企业的重大危险
源。","已按标准进行辨识重
大危险源。",符合,
21,"重大危险源是否报县级安全生产监督管理
部门备案。",已登记备案。,符合,
22,"新建、改建、扩建项目是否在竣工验收前完
成重大危险源的辨识、安全评估和分级、登
记建档工作，并完成备案。",企业已按要求执行。,符合,
