"序
号",储存介质,"最大储量
（t）",防火分区面积,总面积,备注
4,锌粉,10,乙类，28.8m3,,易制爆
5,亚硝酸钠,8,乙类，28.2m3,,氧化剂
6,危险废物,9,甲类，19.2m3,,
