序名,设备名称,规格型号,安装位置,设备编号,备注
91,方箱,1500*800*800,楼顶,083-18140-3,不锈钢
92,方箱,1500*800*800,楼顶,083-18140-4,不锈钢
93,立式储罐,500L,楼顶,083-18142-1,不锈钢
94,立式储罐,300L,楼顶,083-18142-2,不锈钢
95,立式储罐,300L,楼顶,083-18142-3,不锈钢
96,立式储罐,300L,楼顶,083-18142-4,不锈钢
97,卧式储罐,300L,楼顶,083-18143-1,不锈钢
98,卧式储罐,300L,楼顶,083-18143-2,不锈钢
99,卧式储罐,300L,楼顶,083-18143-3,不锈钢
100,卧式储罐,300L,楼顶,083-18143-4,不锈钢
101,立式储罐,500L,楼顶,083-18145,组合件
102,卧式储罐,3000L,楼顶,083-18522,碳钢
103,卧式PP储罐,1000L,楼顶,083-18523,PP
8号楼一车间（杂环）,,,,,
1,回收液碱储罐,8000L,一楼,082-18403-1,Q235B
2,回收液碱储罐,8000L,一楼,082-18403-2,Q235B
3,卧式储罐,2500L,一楼,082-18408-1,不锈钢304
4,卧式储罐,2500L,一楼,082-18408-2,不锈钢304
5,"平板上卸料衬塑离
心机",LPGZ1250,一楼,082-18411,衬塑
6,接受罐,1000L,一楼,082-18416,碳钢
7,搪玻璃接受罐,300L,一楼,082-18426-2,搪玻璃
8,双锥真空干燥机,SZG-500,一楼,082-18428,搪玻璃
9,热水罐,KR500,一楼,082-18432-2,搪玻璃
10,盐酸储罐,3000L,一楼,082-18435,搪玻璃
11,双锥回旋干燥器,SZG-500,一楼,082-18436,不锈钢
12,方箱,700*700*700,一楼,082-18454,PP
13,热水罐,KR500,一楼,082-18457,搪玻璃
14,立式储罐,1000L,一楼,082-18460,不锈钢
15,立式储罐,1000L,一楼,082-18461,不锈钢
16,氮气缓冲罐,300L,一楼,082-18512-3,不锈钢
17,氮封缓冲罐,300L,一楼,082-18512-4,碳钢
18,反应罐,FR5000,二楼,082-18402-1,Q235B
19,反应罐,FR5000,二楼,082-18402-2,Q235B
20,反应釜,KR2000,二楼,082-18406-1,搪玻璃
21,反应釜,KR2000,二楼,082-18406-2,搪玻璃
22,钢衬F40储罐,200L,二楼,082-18407-1,RPP
23,钢衬F40储罐,200L,二楼,082-18407-2,RPP
24,结晶罐,KR500,二楼,082-18409-1,搪玻璃
