序号,设施名称,配置地点,数量,管理部门
1,柴油泵,厂区,1台,安环部
2,电动消防泵,循环水池,1台,安环部
3,泡沫灭火剂,应急中心,8吨,安环部
4,泡沫枪,应急中心,8支,安环部
5,二氧化碳灭火器,各配电房、QC、试验室,110只,安环部
6,消防沙,仓库、油炉房,约6吨,安环部
7,正压式空气呼吸器,6号楼旁,2套,安环部
8,正压式空气呼吸器,8号楼旁,2套,安环部
9,正压式空气呼吸器,9号楼旁,4套,安环部
10,正压式空气呼吸器,仓库、储罐区附近,4套,安环部
11,正压式空气呼吸器,12号楼旁,2套,安环部
12,正压式空气呼吸器,14号楼旁,2套,安环部
13,正压式空气呼吸器,微型消防站,4套,安环部
