"序
号",检查内容,检查依据,"检查
结果",备注
1,"全省已建或新建、改建和扩建的炼油、氯碱、
硫酸、氟化氢、合成氨等装置应安装自动化
安全控制系统。","浙安监管危
化〔2008〕200
号",——,"企业不涉及左述生
产装置。"
2,"化工生产项目涉及硝化、氯化、氟化、磺化、
加氢、重氮化、过氧化以及聚合、裂解等且
有高温高压、放热或深冷等工艺过程的应安
装自动化安全控制系统。",,符合,"涉及制氢、加氢工
艺，已按法规要求安
装自控系统。"
3,"对其它装置或项目工艺过程，采用道化学公
司火灾、爆炸危险指数评价法（第七版）评
价，经现有的安全措施补偿后，其危险等级
仍在很大及以上（火灾爆炸指数≥128）的；
采用危险度评价法，其危险等级在高度及以
上（危险度分值≥16）的装置或工艺过程）
应安装相应的自动化安全控制系统。",,符合,"涉及高度危险单元
（制氢），已按法规
要求安装自控系统。"
4,"其他项目或装置特别是涉及易燃易爆介质、
剧毒、高毒和极度危害介质，或构成重大危
险源的生产储存设施，其危险等级为中等程
度及以上（火灾爆炸指数≥97），或其危险
度评价法危险等级为中度及以上（危险度分
值≥11）的，均要安装相应的自动化安全控
制系统。",,符合,"已按法规要求安装
自控系统。"
