序名,设备名称,规格型号,安装位置,设备编号,备注
25,结晶罐,KR500,二楼,082-18409-2,搪玻璃
26,蒸馏釜,KR1000,二楼,082-18413-1,搪玻璃
27,蒸馏釜,KR1000,二楼,082-18413-2,搪玻璃
28,亚油还原罐,KR2000,三楼,082-18401-1,搪玻璃
29,亚油还原罐,KR2000,三楼,082-18401-2,搪玻璃
30,接受罐,KR2000,三楼,082-18405-1,不锈钢
31,接受罐,KR2000,三楼,082-18405-2,不锈钢
32,搪玻璃储罐,K-500L,三楼,082-18420-1,搪玻璃
33,搪玻璃储罐,K-500L,三楼,082-18420-2,搪玻璃
34,搪玻璃计量罐,1000L,三楼,082-18423-1,搪玻璃
35,搪玻璃计量罐,1000L,三楼,082-18423-2,搪玻璃
9号楼一车间（缩合粗品）,,,,,
1,顶裕安捷能风机,BTF-15B,一楼,C301,塑料
2,氟塑料合金磁力泵,BCQF4 50-40-160,一楼,P104,衬四氟
3,吸收塔,φ 1400*8500,一楼,T301,RPP
4,碳钢贮罐,2000L,一楼,V101,碳钢
5,搪玻璃储罐,K1500L,一楼,V105,搪玻璃
6,储罐,200L,一楼,V112-3,不锈钢
7,地槽,500L,一楼,V329,不锈钢
8,真空缓冲罐,300L,一楼,V332,不锈钢
9,蒸汽水收集罐,500L,一楼,V336,搪玻璃
10,防紫外PP吸收塔,,一楼,091-T302,RPP
11,搪玻璃卧式储罐,500L,一楼,091-V303,搪玻璃
12,反应釜,1500L,二楼,R104,搪玻璃
13,立式储罐,1000L,二楼,V202,不锈钢
14,贮罐,1000L,二楼,V311,不锈钢
15,反应釜,KR1000,二楼,091-R301,搪玻璃
16,反应釜,KR2000,二楼,091-R302,搪玻璃
17,反应釜,KR2000,二楼,091-R303,搪玻璃
18,反应釜,KR2000,二楼,091-R304,搪玻璃
19,反应釜,KR3000,二楼,091-R701-1,搪玻璃
20,反应釜,KR3000,二楼,091-R701-2,搪玻璃
21,反应釜,KR3000,二楼,091-R702,搪玻璃
22,反应釜,KR3000,三楼,R101-1,搪玻璃
23,反应釜,KR3000,三楼,R101-2,搪玻璃
24,反应釜,3000L,三楼,R101-3,搪玻璃
25,反应釜,KR1000,三楼,R201,搪玻璃
26,反应釜,KR2000,三楼,R303,搪玻璃
