,灭火方法：,"雾状水、二氧化碳、砂土。如果该物质或被污染的流体进入水路，通
知有潜在水体污染的下游用户，通知地方卫生、消防官员和污染控制
部门。在安全防爆距离以外，使用雾状水冷却暴露的容器。"
"包
装
与
储
运",危险性类别：,"急性毒性-吸入，类别3
皮肤腐蚀/刺激，类别2
严重眼损伤/眼刺激，类别2
致癌性，类别2
生殖毒性，类别2
特异性靶器官毒性-反复接触，类别1"
,危险货物包装标志：,6
,包装类别：,Ⅱ
,储运注意事项：,"储存于阴凉、通风仓间内。远离火种、热源。避免光照。保持容器密
封。应与氧化剂、食用化工原料分开存放。不可混储混运。搬运时要
轻装轻卸，防止包装及容器损坏。分装和搬运作业要注意个人防护。
运输按规定路线行驶。
废弃：处置前参阅国家和地方有关法规。废物储存参见“储运注意事
项”。用控制焚烧法处置。溶于易燃溶剂或与燃料混合后，再焚烧。
焚烧炉排出的卤代烃通过酸洗涤器除去。
包装方法：螺纹口玻璃瓶、铁盖压口玻璃瓶、塑料瓶或金属桶（罐）
外木板箱。
ERG指南：151 ERG指南分类：有毒物质(不燃的)"
"毒
性
危
害",接触限值：,PC-TWA：20mg/m3
,侵入途径：,吸入、食入、经皮吸收
,毒性：,"LD ：908mg/kg(大鼠经口)
50
LC ：47702mg/m3 4h(大鼠吸入)
50
亚急性和慢性毒性：动物慢性毒性主要表现为肝肾损害。
致癌性：IARC致癌性评论：对人可能致癌。"
,健康危害：,"主要作用于中枢神经系统，具有麻醉作用，对肝，肾有损害作用。吸
入或经皮肤吸收引起急性中毒，初期有头痛、头晕、恶心、呕吐、兴
奋、皮肤粘膜有刺激症状，以后呈现精神紊乱、呼吸表浅、反射消失、
昏迷等，重者发生呼吸麻痹、心室纤维性颤动、并可有肝、肾损害。
误服中毒时，胃有烧灼感、伴恶心、呕吐、腹痛、腹泻。以后出现麻
醉症状。慢性中毒：主要引起肝脏损害，此外还有消化不良、乏力、
头痛、失眠等症状，少数有肾损害。
IARC 评价：2B 组；可疑人类致癌物；人类证据不足；动物证据充
分
NTP：可疑人类致癌物；IDLH：500ppm潜在人类致癌物
嗅阈：11.7ppm；OSHA：表Z—1空气污染物
NIOSH标准文件：NIOSH 75—114；健康危害(蓝色)：2"
"急
救",皮肤接触：,"脱去污染的衣着，用肥皂水及清水彻底冲洗。对少量皮肤接触，避免
将物质播散面积扩大。注意患者保暖并且保持安静。吸入、食入或皮
肤接触该物质可引起迟发反应。确保医务人员了解该物质相关的个体
防护知识，注意自身防护。"
,眼睛接触：,立即提起眼睑，用大量流动清水或生理盐水冲洗。
,吸入：,"迅速脱离现场至空气新鲜处。呼吸困难时给输氧。呼吸停止时，立即
进行人工呼吸。就医。如果患者食入或吸入该物质不要用口对口进行
人工呼吸，可用单向阀小型呼吸器或其他适当的医疗呼吸器。"
,食入：,误服者给饮大量温水，催吐，就医。
