名称,"生产规
模（t/a）",生产车间,主要原辅料,主要生产步骤,"重点监
管危险
工艺","剧
毒
品","重点监
管危化
品","易制
爆",易制毒,"包装
方式","储存
地点","储
存
量t"
格列齐特,40,"8号楼（格列齐特酰
亚胺还原、亚油、亚
油还原工段）、9号楼
（格列齐特合成、缩
合、废水浓缩工段）","氯化锌、酰亚胺、硼氢
化钾、甲苯、四氢呋喃、
锌粉、盐酸、液碱、乙
酸乙酯、亚硝酸钠、对
甲苯磺酰脲、乙醇","酰亚胺还原反
应、亚油反应、
亚油还原反应、
缩合反应",/,/,"甲苯、
乙酸乙
酯","硼氢
化
钾、
锌粉","甲苯、
盐酸",桶装,"综合仓
库",5
"亚氨基二
苄
（IDB）",1500,"3号楼（亚氨基二苄
加氢工段）、6号楼
（亚氨基二苄浓缩、
环合工段）、7号楼
（亚氨基二苄精制回
收工段）、10号楼（亚
氨基二苄精制工段）","二硝基二苄、多聚磷
酸、乙醇、甲苯、甲醇、
氢气、雷尼镍","加氢反应、环合
反应",加氢,/,"甲苯、
甲醇、
氢气",/,甲苯,桶装,"综合仓
库",150
苯扎贝特,60,"7号楼（苯扎贝特缩
合工段）、8号楼（苯
扎贝特酰化工段）","对氯苯甲酰氯、小苏
打、盐酸酪胺、乙酸乙
酯、片碱、氯仿、丙酮、
盐酸、活性炭","酰化反应、缩合
反应",/,/,"乙酸乙
酯、氯
仿",/,"氯仿、
丙酮、
盐酸",桶装,"综合仓
库",6
普瑞巴林,50,7号楼,"还原物、盐酸、甲苯、
水、活性炭、片碱",水解工序,/,/,甲苯,/,甲苯,桶装,"综合仓
库",5
"10-甲氧基
亚氨芪",120,"14号楼（10-甲氧基亚
氨芪溴化工段）、10
号楼(10-甲氧基亚氨
芪水解、精制工段)","溴素、氯苯、甲苯、甲
醇、氢氧化钾、亚氨基
二苄甲酰氯","溴化反应、水解
反应",/,/,"氯苯、
甲醇、
甲苯",/,"溴素、
甲苯",桶装,"成品仓
库",20
"氢气
(中间产
品)","300
Nm3/h",3号楼西侧制氢车间,甲醇、纯化水、催化剂,催化裂解反应,"催化裂
解",/,"甲醇、
氢气",/,/,罐储,"3号楼
外氢气
贮罐",0.05
