序名,设备名称,规格型号,安装位置,设备编号,备注
32,列管换热器,4m2,二楼,062-E507,"管程304/壳程
Q235B"
33,管道泵,ISG50-160,二楼,062-P511,
34,管道泵,IHGB25-160,二楼,062-P512,不锈钢
35,冷蒸罐,KR800,二楼,062-V505-1,"罐体Q235A，盘
管0Ci18NI9Ti"
36,冷蒸罐,KR800,二楼,062-V505-2,"罐体Q235A，盘
管0Ci18NI9Ti"
37,冷蒸罐,KR800,二楼,062-V505-3,"罐体Q235A，盘
管0Ci18NI9Ti"
38,冷蒸罐,KR800,二楼,062-V505-4,"罐体Q235A，盘
管0Ci18NI9Ti"
39,冷蒸罐,KR800,二楼,062-V505-5,"罐体Q235A，盘
管0Ci18NI9Ti"
40,导热油罐,1500L,二楼,062-V521,304
41,立式储罐,5000L,二楼,062-V522,"筒体S31603/夹
套Q345R"
42,计量罐,1500L,二楼,062-V523,"筒体S31603/夹
套Q345R"
43,计量罐,2000L,二楼,062-V524,"筒体S31603/夹
套Q345R"
44,称重模块,3T,二楼,063-M501,
45,塑料离心式通风机,F4-72型-4″,三楼,062-C503,塑料
46,蒸馏釜,1000L,三楼,062-R502-1,不锈钢
47,蒸馏釜,1000L,三楼,062-R502-2,不锈钢
48,蒸馏釜,KR1000,三楼,062-R502-3,不锈钢
49,蒸馏釜,1000L,三楼,062-R502-4,不锈钢
50,蒸馏釜,600L,三楼,062-R502-5,不锈钢
51,接受罐,KR800,三楼,062-R503-1,不锈钢
52,接受罐,KR800,三楼,062-R503-2,不锈钢
53,带夹套接受罐,KR800,三楼,062-R503-3,不锈钢
54,接受罐,F1000,三楼,062-R503-4,不锈钢
55,接受罐,KR500,三楼,062-R503-5,不锈钢
56,尾气吸收槽,2600L,三楼,062-T501-1,不锈钢
57,尾气吸收槽,2600L,三楼,062-T501-2,不锈钢
58,尾气吸收槽,2000L,三楼,062-T501-3,不锈钢
59,尾气吸收槽,2000L,三楼,062-T501-4,不锈钢
60,尾气吸收槽,1500L,三楼,062-T505,不锈钢
61,卧式储罐,1500L,三楼,062-V403,不锈钢
62,分层罐,300L,三楼,062-V503-1,紫铜
63,分层罐,300L,三楼,062-V503-2,紫铜
64,分层罐,300L,三楼,062-V503-3,紫铜
65,分层罐,300L,三楼,062-V503-4,紫铜
66,分层罐,300L,三楼,062-V503-5,紫铜
