序名,设备名称,规格型号,安装位置,设备编号,备注
32,溶解罐,KR3000,二楼,103-R601-1,搪玻璃
33,溶解罐,KR3000,二楼,103-R601-2,搪玻璃
34,结晶罐,KR2000,二楼,103-R602-1,不锈钢
35,结晶罐,KR2000,二楼,103-R602-2,不锈钢
36,中转罐,KR3000,二楼,103-R701,搪玻璃
37,蒸馏罐,KR3000,二楼,103-R702,搪玻璃
38,萃取罐,3000L,二楼,103-R703,搪玻璃
39,磷酸高位槽,450L,二楼,103-V602,不锈钢
40,计量罐,700L,二楼,103-V603,不锈钢
41,卧式储罐,200L,二楼,103-V605,不锈钢
42,卧式储罐,300L,二楼,103-V610,不锈钢
43,储罐,200L,二楼,103-V611-1,不锈钢
44,储罐,200L,二楼,103-V611-2,不锈钢
45,储罐,20L,二楼,103-V703,不锈钢
46,泄爆罐,1500L,二楼,103-V704,不锈钢
47,方箱,"1000×1000×2000
（5mm厚）",二楼,103-V705,304
48,空气净化机组,25000㎡/h,二楼,103-X606,组合件
49,表冷器,/,二楼,103-X610,组合件
50,溶解过滤器,2000L,二楼,103-X615,不锈钢
10号楼三车间（水解精制）,,,,,
1,储罐,1500L,一楼,101-V401,304
2,储罐,8000L,一楼,101-V406,304
3,储罐,6000L,一楼,101-V409,304
4,储罐,500L,一楼,101-V415,S304
5,氮气缓冲罐,300L,一楼,101-V418-1,S304
6,氮气缓冲罐,300L,一楼,101-V418-2,S304
7,空气缓冲罐,300L,一楼,101-V419-1,S304
8,空气缓冲罐,300L,一楼,101-V419-2,S304
9,立式储罐,300L,一楼,101-V424,304
10,立式储罐,100L,一楼,101-V425,304
11,储罐,8000L,一楼,101-V501,304
12,储罐,3500L,一楼,101-V503-1,304
13,储罐,3500L,一楼,101-V503-2,304
14,储罐,5000L,一楼,101-V504,304
15,不锈钢立式储罐,1000L,二楼,101-V408,不锈钢
16,料仓,2000L,二楼,101-V411,S304
17,立式储罐,500L,二楼,101-V502,S30408
18,卧式储罐,500L,三楼,101-V402,S304
