工序,投入,,产出,
,物料名称,kg,物料名称,kg
加氢岗位,二硝基二苄湿品,275,二氨基二苄乙醇液,995
,乙醇或回收乙醇,720,废气,/
,氮气,/,滤 渣,1.65
,氢气,/,/,/
,催化剂,1.65,/,/
,合计,996.65,合计,996.65
