"序
号",工序,物料名称,"生产过
程最高
温度℃","吸热温
度范
围℃","吸热
J/g","放热温度范
围℃","放热量
J/g","等
级"
1,溶剂回收,"回收乙酸乙
酯",85,/,/,220.80,9.274,1
2,溶剂回收,回收丙酮,61,/,/,"第一段277.10
第二段316.80","第一段69.70
第二段11.48",1
3,溶剂回收,"回收甲苯四
氢呋喃",120,/,/,"第一段209.10
第二段323.10
第二段322.80","第一段8.936
第二段41.66
第二段21.51",1
4,溶剂回收,"回收乙酸乙
酯蒸馏残液",85,/,/,/,,1
5,溶剂回收,精制母液,85,/,/,/,,1
6,溶剂回收,回收乙醇,95,/,/,/,,1
