序号,项目,变化情况,备注
1,企业名称,未发生变化。,
2,周围环境,"厂区周围环境基本未发生变化。其东侧、南侧四维医
药厂区有改建工程在实施，但其厂区与本项目厂区之
间有围墙或道路分隔，对本项目的影响在可接受范围。",
3,总平面布置,"企业相关生产设施总体布局未发生变化，因实施“年产
120吨10-甲氧基亚氨芪水解、精制改造项目”，局部发
生调整：
1）12号楼（原10-甲氧基亚氨芪水解车间）拟改为废
水预处理车间，车间目前闲置，原有设备保留，后期
将改造用于废水处理，企业实施后应办理变更手续；
2）10号楼内东侧现用于10-甲氧基亚氨芪的水解、精
制工段。",
4,生产工艺技术,"企业相关生产工艺技术总体未发生变化，取消部分工
序，主要变化如下：
原普瑞巴林加氢工段，格列齐特、盐酸酪胺的精制工
段全部拆除，普瑞巴林生产所需加氢产物直接外购，
格列齐特精制转为委外；盐酸酪胺停产。",
5,生产设备设施,"除正常的设备维修、更新外，主要变化如下：
1）因实施“年产120吨10-甲氧基亚氨芪水解、精制改
造项目”12 号楼原 10-甲氧基亚氨芪水解车间的水解、
精制工段搬迁至10号楼，原车间拟改为废水预处理车
间，目前闲置，原有设备保留，后期将改造用于废水",
