序名,设备名称,规格型号,安装位置,设备编号,备注
19,储罐,3500L,三楼,101-V403,S30408
20,储罐,2000L,三楼,101-V404,S30408
21,储罐,2000L,三楼,101-V405,S30408
22,储罐,3000L,三楼,101-V410-1,S30408
23,储罐,3000L,三楼,101-V410-2,S30408
24,储罐,100L,三楼,101-V414,S304
25,计量罐,500L,三楼,101-V422-1,S304
26,计量罐,500L,三楼,101-V422-2,S304
27,储罐,500L,三楼,101-V422-3,S304
28,储罐,500L,三楼,101-V422-4,S304
29,储罐,500L,三楼,101-V422-5,S304
30,储罐,500L,三楼,101-V422-6,S304
31,储罐,600L,三楼,101-V423,S30408
32,储罐,1000L,三楼,101-V426,碳钢
33,储罐,3000L,三楼,101-V601,S30408
34,储罐,1000L,三楼,101-V602,S30408
35,储罐,1500L,三楼,101-V603,S30408
36,储罐,1000L,三楼,101-V605,S30408
37,立式储罐,200L,三楼,101-V606,S30408
38,立式储罐,1000L,三楼,101-V607,不锈钢
39,立式储罐,1000L,三楼,101-V608,不锈钢
40,反应釜,2000L,四楼,101-R401-1,S304
41,反应釜,2000L,四楼,101-R401-2,S304
42,反应釜,K2000L,四楼,101-R402-1,碳钢内衬搪玻璃
43,反应釜,K2000L,四楼,101-R402-2,碳钢内衬搪玻璃
44,反应釜,4200L,四楼,101-R403-1,S304
45,反应釜,4200L,四楼,101-R403-2,S304
46,反应釜,4200L,四楼,101-R403-3,S304
47,反应釜,4200L,四楼,101-R403-4,S304
48,反应釜,4200L,四楼,101-R403-5,S304
49,反应釜,4200L,四楼,101-R403-6,S304
50,反应釜,3500L,四楼,101-R404,S304
51,反应釜,3500L,四楼,101-R405-1,S304
52,反应釜,3500L,四楼,101-R405-2,S304
53,反应釜,4000L,四楼,101-R406,S304
54,反应釜,4000L,四楼,101-R407,S304
55,反应釜,K3000L,四楼,101-R601,碳钢内衬搪玻璃
56,反应釜,KR2000,四楼,101-R602,碳钢内衬搪玻璃
