序号,气体浓度探测器检测气体类型,配置地点,备注
98,氧气气体探测器,12#-层X601旁,
99,可燃气体探测器,13#-层132-P212旁,
100,可燃气体探测器,13#二层132-V210旁,
101,可燃气体探测器,13#二层132-R201A旁,
102,可燃气体探测器,13#二层132-V214旁,
103,可燃气体探测器,13#三层132-R304旁,
104,可燃气体探测器,12#二层R702旁,
105,可燃气体探测器,12#二层V601旁,
106,可燃气体探测器,12#-层P415-2磁力泵旁,
107,可燃气体探测器,12#-层V504旁,
108,可燃气体探测器,12#-层V419-2储罐旁,
109,可燃气体探测器,13#二层18409-5旁,
110,氧气气体探测器,12#-层X704旁,
111,可燃气体探测器,12#-层V406旁,
112,可燃气体探测器,12#-层T501旁,
113,可燃气体探测器,13#-层18406-3旁,
114,可燃气体探测器,12#南外V503-2旁,
115,可燃气体探测器,12#-层X601旁,
116,可燃气体探测器,13#18422-1旁,
117,氧气气体探测器,13#-层18411-3旁,
118,可燃气体探测器,13#-层18411-3旁,
119,可燃气体探测器,13#二层18406-3旁,
120,可燃气体探测器,13#三层18405-3旁,
121,可燃气体探测器,13#-层132-V205旁,
122,可燃气体探测器,13#-层平台132-T201A旁,
123,可燃气体探测器,13#二层132-R202旁,
124,可燃气体探测器,机修间北,
125,可燃气体探测器,机修间东,
126,可燃气体探测器,机修间南,
127,可燃气体探测器,机修间东边房间东,
128,可燃气体探测器,机修间东边房间西,
129,可燃气体探测器,12#-层X704旁,
130,氧气气体探测器,14#-层离心间,
131,可燃气体探测器,14#-层离心间,
132,可燃气体探测器,固废仓库,
133,可燃气体探测器,罐区V006储罐南,
134,有毒气体探测器,14#溴素罐V005旁,
135,有毒气体探测器,14#溴素罐V004旁,
