"序
号",检查内容,依据,检查结果,结论
2.7,"库房内配电线路需穿金属管或非燃塑料
管保护。","《仓库防火安
全管理规则》",穿管保护。,符合
2.8,"危险化学品储存仓库应有防雷防静电设
施，防雷防静电设施应经有资质的单位
进行检测。",GB50057-2010,"已设置防雷设施，经
检测合格。",符合
三、储存安排,,,,
3.1,"根据危险品性能分区、分类、分库贮存。
各类危险品不得与禁忌物料混合贮存。
如：易燃液体、遇湿易燃物品、易燃固
体不得与氧化剂混合贮存，具有还原性
的氧化剂应单独存放。",GB 15603-2022,"各仓库均进行了分
隔，禁忌物料均分开
存放。",符合
3.2,"根据各类商品的不同性质、库房条件、
灭火方法等进行严格的分区分类，分库
存放。","GB17914-2013
GB17915-2013
GB17916-2013","不同种类的物料分开
存放。",符合
3.3,"甲乙类桶装液体不宜露天存放，必须露
天存放时，夏季应有降温措施。","《仓库防火安
全管理规则》","桶装液体未露天进行
储存。",符合
四、储存养护条件,,,,
4.1,"贮存化学品的建筑必须安装通风设备，
并注意设施的防护措施。",GB 15603-2022,"仓库通风良好。甲类
仓库等设有机修通风
设施。",符合
4.2,"库房内设温湿度表（重点库可设自记温
湿度计），按规定时间观测和记录。根据
商品的不同性质，采取密封、通风和库
内吸潮相结合的温湿度管理办法，严格
控制并保持库房内的温湿度，使之符合
相关要求。","GB17914-2013
GB17915-2013
GB17916-2013","设有温湿度计，定期
记录。",符合
4.3,"禁止在化学危险品贮存区域内堆积可燃
废弃物品。",GB15603-2022,满足要求。,符合
4.4,"按化学危险品特性，用化学的或物理的
方法处理废弃物品，不得任意抛弃、污
染环境。",GB15603-2022,"有相应的安全管理制
度。",符合
4.5,"各项操作不得使用能产生火花的工具，
作业现场应远离热源与火源。","GB17914-2013
GB17915-2013
GB17916-2013",周边无热源或火源。,符合
4.6,"库房内不准分、改装，开箱、开桶、验
收和质量检查等需在库房外进行。","GB17914-2013
GB17915-2013
GB17916-2013","库房内不进行上述作
业。",符合
4.7,"入库商品必须附有生产许可证和产品检
验合格证，进口商品必须附有中文安全
技术说明书。","GB17914-2013
GB17915-2013
GB17916-2013","入库商品附有生产许
可证和产品检验合格
证。",符合
4.8,"生产单位应在危险化学作业点，利用“安
全周知卡”或“安全标志”等方式，标明其
危险性。","《工作场所安
全使用化学品
规定》第9条","各仓库内均设有安全
周知卡。",符合
五、仓库安全管理,,,,
5.1,危险化学品应当由专人负责管理。,"《危险化学品
安全管理条例》","有仓库保管员，负责
仓库安全管理工作。",符合
