"序
号",建构筑物名称,"层
数","占地面
积m2","建筑面
积m2",结构,"耐火
等级","火险
类别",备注
1,"1号楼
（辅助用房）",3,600,1800,框架,二级,—,办公、分析化验等
2,3号楼,2,577,1154,框架,二级,甲类,"西部为制氢/亚氨基
二苄加氢、东部空置"
3,"4号楼
（仓库一）",2,577,1154,框架,二级,丙类,原料库
4,"5号楼
（综合仓库）",2,1524,2101,框架,二级,丙类,"成品、半成品库，及
部分原料存放"
