序名,设备名称,规格型号,安装位置,设备编号,备注
1,"节能玻璃钢离心风
机",BTF-151B-3KW,一楼,073-C001,玻璃钢
2,螺旋板冷凝器,10㎡,一楼,073-E001,不锈钢
3,空气储罐,300L,一楼,073-V001,不锈钢304
4,空气储罐,300L,一楼,073-V002,不锈钢304
5,储罐,300L,一楼,073-V002,不锈钢304
6,氮气储罐,300L,一楼,073-V003,不锈钢304
7,氮气储罐,300L,一楼,073-V004,不锈钢304
8,热水罐,2000L,一楼,073-V005,不锈钢304
9,泄爆罐,600L,一楼,073-V006,不锈钢304
10,立式储罐,200L,一楼,073-V007-1,不锈钢304
11,立式储罐,200L,一楼,073-V007-2,不锈钢304
12,立式储罐,200L,一楼,073-V007-3,不锈钢304
13,立式储罐,200L,一楼,073-V007-4,不锈钢304
14,卧式储罐,200L,一楼,073-V008-1,不锈钢304
15,卧式储罐,200L,一楼,073-V008-2,不锈钢304
16,卧式储罐,200L,一楼,073-V008-3,不锈钢304
17,卧式储罐,200L,一楼,073-V008-4,不锈钢304
18,方箱,1500*1000*1500,一楼,073-V009-1,不锈钢304
19,方箱,1500*1000*1500,一楼,073-V009-2,不锈钢304
20,立式储罐,2000L,一楼,073-V101,不锈钢304
21,方箱,1500L,一楼,073-V102,不锈钢304
22,方箱,1500L,一楼,073-V103,不锈钢304
23,立式储罐,2000L,一楼,073-V104,不锈钢304
24,立式储罐,5000L,一楼,073-V106,不锈钢304
25,方箱,500L,一楼,073-V107,不锈钢304
26,呼吸空压储罐,50L,一楼,073-V108,不锈钢304
27,快开式过滤器,200L,一楼,073-X101,不锈钢
28,搪玻璃反应釜,KR3000,二楼,073-R201,搪玻璃
29,搪玻璃反应釜,KR3000,二楼,073-R202,搪玻璃
30,搪玻璃反应釜,KR3000,二楼,073-R203,搪玻璃
31,搪玻璃反应釜,KR2000,二楼,073-R204,搪玻璃
32,搪玻璃反应釜,KR2000,二楼,073-R205,搪玻璃
33,储罐,200L,二楼,073-V201,不锈钢304
34,搪玻璃反应釜,KR2000,三楼,073-R301,搪玻璃
35,搪玻璃反应釜,KR2000,三楼,073-R302,搪玻璃
36,搪玻璃反应罐,KR2000,三楼,073-R303,搪玻璃
37,搪玻璃反应罐,2000L,三楼,073-R304,搪玻璃
38,搪玻璃反应釜,2000L,三楼,073-R305,搪玻璃
