"项目
单元",主要危险物质,"物
质
评
分","容
量
评
分","温
度
评
分","压
力
评
分","操
作
评
分","总
分",等级
甲醇催化裂解制氢反应单元,甲醇、氢气,10,2,0,2,5,19,Ⅰ
亚氨基二苄加氢反应单元,乙醇、氢气,10,0,0,2,2,14,Ⅱ
亚氨基二苄环合反应单元,磷酸、乙醇,5,0,2,0,2,9,Ⅲ
格列齐特酰亚胺还原反应单元,"氯化锌、甲苯、
四氢呋喃、硼氢
化钾",5,0,0,0,5,10,Ⅲ
格列齐特亚油反应单元,亚硝酸钠,5,0,0,0,2,7,Ⅲ
格列齐特亚油还原反应单元,锌粉、盐酸,5,0,0,0,5,10,Ⅲ
格列齐特缩合反应单元,乙酸乙酯,5,0,0,0,5,10,Ⅲ
苯扎贝特酰化反应单元,"对氯苯甲酰氯、
三氯甲烷",5,0,0,0,5,10,Ⅲ
苯扎贝特缩合反应单元,"乙酸乙酯、三氯
甲烷",5,0,0,0,5,10,Ⅲ
10-甲氧基亚氨芪溴化反应单元,溴素、氯苯,5,0,0,0,5,10,Ⅲ
"10-甲氧基亚氨芪甲氧基化水解
反应单元",甲醇,5,0,0,0,2,7,Ⅲ
甲类罐区单元,"甲醇、甲苯、乙
醇、硫酸、盐
酸、液碱、丙酮
等",5,5,0,0,2,12,Ⅱ
