序名,设备名称,规格型号,安装位置,设备编号,备注
29,搪玻璃釜,2000L,三楼,092-18722,搪玻璃
30,搪玻璃釜,2000L,三楼,092-18758,搪玻璃
31,储罐,300L,三楼,092-18771-1,碳钢
32,储罐,300L,三楼,092-18771-2,不锈钢
33,管道过滤器,"1芯-10""-226",三楼,092-18774,不锈钢
9号楼一车间（粗品扩产）,,,,,
1,卧式储罐,2000L,一楼,093-V701,不锈钢
2,卧式储罐,5000L,一楼,093-V702-1,不锈钢
3,卧式储罐,5000L,一楼,093-V702-2,不锈钢
4,卧式储罐,2000L,一楼,093-V703,不锈钢
5,卧式储罐,2000L,一楼,093-V704,不锈钢
6,卧式储罐,2000L,一楼,093-V705,不锈钢
7,真空缓冲罐,200L,一楼,093-V706-1,不锈钢
8,真空缓冲罐,200L,一楼,093-V706-2,不锈钢
9,真空缓冲罐,200L,一楼,093-V706-3,不锈钢
10,卧式储罐,300L,一楼,093-V707-1,不锈钢
11,卧式储罐,300L,一楼,093-V707-2,不锈钢
12,卧式储罐,300L,一楼,093-V707-3,不锈钢
13,氮气储罐,300L,一楼,093-V708-1,碳钢
14,氮封储罐,300L,一楼,093-V708-2,碳钢
15,空压储罐,300L,一楼,093-V708-3,碳钢
16,泄爆罐,C-1/0.8,一楼,093-V709,碳钢
17,立式储罐,1000L,一楼,093-V710,不锈钢
18,卧式储罐,3000L,一楼,093-V712,不锈钢
19,方箱,1100*800*600,一楼,093-V714,不锈钢
20,过滤洗涤干燥机,GXG1800,一楼,093-X701,不锈钢
21,袋式过滤器,35L,一楼,093-X702,不锈钢
22,反应釜,2000L,二楼,093-R702-1,搪玻璃
23,反应釜,2000L,二楼,093-R702-2,搪玻璃
24,反应釜,1000L,二楼,093-R705,搪玻璃
25,反应釜,2000L,二楼,093-R706,搪玻璃
26,反应釜,2000L,二楼,093-R707,搪玻璃
27,卧式储罐,200L,二楼,093-V713-1,不锈钢
28,卧式储罐,200L,二楼,093-V713-2,不锈钢
29,袋式过滤器,35L,二楼,093-X703,不锈钢
30,袋式过滤器,BTDL-1,二楼,093-X704,不锈钢
31,袋式过滤器,30L,二楼,093-X705,不锈钢
32,管道过滤器,"1芯-10""-226",二楼,093-X706,不锈钢
