序名,设备名称,规格型号,安装位置,设备编号,备注
35,气液分离器,300L,二楼,072-V402,不锈钢
36,不锈钢储罐,2000L,二楼,072-V403-1,不锈钢
37,不锈钢储罐,2000L,二楼,072-V403-2,不锈钢
38,不锈钢贮罐,1000L,二楼,072-V603,不锈钢
39,立式储罐,1000L,二楼,072-V604,不锈钢
40,送风机组,,二楼,072-X307,
41,搪玻璃釜,KR2000,三楼,072-R301-1,搪玻璃
42,搪玻璃釜,KR2000,三楼,072-R301-2,搪玻璃
43,搪玻璃釜,KR2000,三楼,072-R301-3,搪玻璃
44,反应釜,2000L,三楼,072-R301-4,搪玻璃
45,搪玻璃釜,KR500,三楼,072-R303,搪玻璃
46,搪玻璃釜,KR500,三楼,072-R304,搪玻璃
47,不锈钢储罐,500L,三楼,072-V326,不锈钢
48,立式储罐,300L,三楼,072-V309,不锈钢
49,立式储罐,2000L,三楼,072-V311,不锈钢304
50,喷涂储罐,200L,三楼,072-V314,喷涂
51,储罐,300L,三楼,072-V327,
52,搪玻璃贮罐,K-500L,三楼,072-V303,搪玻璃
53,卧式储罐,2000L,三楼,072-V308-2,不锈钢
54,下卸料离心机,LLGZ1250,三楼,072-X301,304
7号楼五车间（酰化）,,,,,
1,"防爆节能玻璃钢离
心风机",BTF-151B,一楼,081-C401,玻璃钢
2,"防爆节能玻璃钢风
机",BTF-151B-3KW,一楼,081-C403,
3,PPH缠绕吸收塔,800*6020,一楼,081-T402,PP
4,塑料洗涤除雾塔,1500NM3/H,一楼,081-T403,PP
5,储罐,200L,一楼,081-V405-1,不锈钢
6,储罐,200L,一楼,081-V405-2,不锈钢
7,储罐,200L,一楼,081-V405-3,不锈钢
8,储罐,200L,一楼,081-V406-1,不锈钢
9,储罐,200L,一楼,081-V406-2,不锈钢
10,储罐,200L,一楼,081-V406-3,不锈钢
11,缓冲罐,200L,一楼,081-V408,不锈钢
12,废水槽,1200*900*800,一楼,081-V409,不锈钢
13,液碱储罐,200L,一楼,081-V410,碳钢
14,蒸汽收集罐,500L,一楼,081-V411,搪玻璃
15,喷淋罐,1000L,一楼,081-V610,搪玻璃
16,储罐,300L,一楼,081-V611,搪玻璃
