序名,设备名称,规格型号,安装位置,设备编号,备注
1,搪玻璃反应罐,1000L,一楼,142-V128,搪玻璃
2,储罐,F3000L,一楼,142-V201,搪玻璃
3,搪玻璃反应罐,KR500,一楼,142-V202,搪玻璃
4,立式计量罐,1200L,一楼,142-V204,不锈钢
5,储罐,3000L,一楼,142-V207-1,搪玻璃
6,储罐,1000L,一楼,142-V207-2,搪玻璃
7,储罐,1000L,一楼,142-V209,不锈钢
8,储罐,1000L,一楼,142-V210,不锈钢
9,搪玻璃反应罐,KR2000,二楼,142-R204-1,搪玻璃
10,搪玻璃反应罐,KR2000,二楼,142-R204-2,搪玻璃
11,搪玻璃反应罐,2000L,二楼,142-R204-3,搪玻璃
12,计量罐,400L,二楼,142-V205,不锈钢
13,反应罐,KR2000,三楼,142-R201,搪玻璃
14,反应罐,KR2000,三楼,142-R202,搪玻璃
15,搪玻璃反应罐,KR2000、79标,三楼,142-R203,搪玻璃
16,反应罐,KR3000,三楼,142-R205,搪玻璃
17,计量罐,1000L,三楼,142-V208,不锈钢
辅助设施,,,,,
1,"防爆节能玻璃钢离
心风机",BTF-151B-3KW,废气处理中心,03-C105,
2,除沫器,φ 2000*2500,废气处理中心,03-T104,RPP
3,碱吸收塔,φ 1700*7500,废气处理中心,03-T105,RPP
4,水吸收塔1,φ 1700*7500,废气处理中心,03-T107,RPP
5,吸收塔,φ 1200*7500,废气处理中心,03-T108,RPP
6,PPH缠绕吸收塔,1200*6280,废气处理中心,03-T109,PPH
7,贮罐,3000L,废气处理中心,03-V101,碳钢
8,液碱储罐,300L,废气处理中心,03-V201,RPP
9,顶裕安捷能风机,TF-331B,"RTO及生物膜除
臭系统",03-C401,塑料
10,离心式通引风机,9-19-4.5A,"RTO及生物膜除
臭系统",03-C402,碳钢
11,离心式通引风机,8-09 6.8A,"RTO及生物膜除
臭系统",03-C403,碳钢
12,废气风机,BHF-481B,"RTO及生物膜除
臭系统",03-C404,防爆玻璃钢
13,反吹风机,9-19 5.6D,"RTO及生物膜除
臭系统",03-C405,
14,开工风机,8-09 6.8A,"RTO及生物膜除
臭系统",03-C406,
15,引风机,HF-481B,"RTO及生物膜除
臭系统",03-C407,防爆玻璃钢
16,蓄热式高温焚烧炉,20000m³/h,"RTO及生物膜除
臭系统",03-F401,
17,喷淋塔,Φ3000,"RTO及生物膜除
臭系统",03-T401,碳钢
