,,,危害水生环境-长期危害，类别1
,,锌灰：,遇水放出易燃气体的物质和混合物，类别3
,危险货物包装标志：,4,
,包装类别：,Ⅱ,
,储运注意事项：,"储存于高燥清洁的仓间内。相对湿度保持在 75％以下。远离火种、
热源。防止阳光直射。保持容器密封。应与碱类、酸类、潮湿物品、
卤素(氟、氯、溴)、氧化剂等分开存放。平时需勤检查，查仓温，查
混储。搬运时要轻装轻卸，防止包装及容器损坏。雨天不宜运输。
废弃：处置前参阅国家和地方有关法规。恢复材料的原状态，以便
重新使用。
包装方法：塑料袋、多层牛皮纸袋外全开口钢桶；塑料袋、多层牛
皮纸袋外纤维板桶、胶合板桶、硬纸板桶；螺纹口玻璃瓶、铁盖压
口玻璃瓶、塑料瓶或金属桶（罐）外木板箱。
ERG指南：138；ERG指南分类：遇水反应性物质(放出易燃气体)",
"毒
性
危
害",接触限值：,未制定标准,
,侵入途径：,吸入、食入,
,毒性：,"该物质对环境可能有危害，建议不要让其进入环境。
OSHA表Z—1空气污染物：锌及其化合物",
,健康危害：,"吸入锌在高温下形成的氧化锌烟雾可致金属烟雾热，症状有口中金
属味、口渴、胸部紧束感、干咳、头痛、头晕、高热、寒战等。粉
尘对眼有刺激性。口服刺激胃肠道。长期或反复接触对皮肤有刺激
性。",
"急
救",皮肤接触：,"脱去污染的衣着，立即用流动清水彻底冲洗。注意患者保暖并且保
持安静。确保医务人员了解该物质相关的个体防护知识，注意自身
防护。",
,眼睛接触：,立即提起眼睑，用大量流动清水或生理盐水冲洗。,
,吸入：,"迅速脱离现场至空气新鲜处。保持呼吸道通畅。必要时进行人工呼
吸。就医。",
,食入：,误服者立即漱口，给饮大量温水，催吐，就医。,
"防
护
措
施",工程控制：,密闭操作。,
,呼吸系统防护：,"作业工人应该佩带防尘口罩。必要时建议佩带自给式呼吸器。
高于NIOSH REL浓度或尚未建立REL，任何可检测浓度下：自携式
正压全面罩呼吸器、供气式正压全面罩呼吸器辅之以辅助自携式正
压呼吸器。
逃生：装有机蒸气滤毒盒的空气净化式全面罩呼吸器(防毒面具)、自
携式逃生呼吸器。",
,眼睛防护：,一般不需特殊防护。必要时戴安全防护眼镜。,
,防护服：,穿工作服。,
,手防护：,戴防护手套。,
,其他：,"工作现场禁止吸烟、进食和饮水。工作后，淋浴更衣。进行就业前
和定期的体检。",
泄漏处置：,,"隔离泄漏污染区，周围设警告标志，切断火源。建议应急处理人员
戴好防毒面具，穿相应的工作服。不要直接接触泄漏物，转移未破
损的包装，禁止向泄漏物直接喷水，更不要让水进入包装容器内。
避免扬尘，使用无火花工具收集于干燥净洁有盖的容器中，转移回
收。如果大量泄漏，用塑料布、帆布覆盖，在技术人员指导下清除。",
