序名,设备名称,规格型号,安装位置,设备编号,备注
27,卧式碳钢贮罐,1200L,三楼,V102,碳钢
28,卧式碳钢贮罐,300L,三楼,V103,碳钢
29,卧式RPP储罐,200L,三楼,V104,RPP
30,卧式RPP储罐,200L,三楼,V105,RPP
31,卧式不锈钢贮罐,2000L,三楼,V304,不锈钢
32,缓冲罐,KR500,三楼,V305,搪玻璃
33,卧式不锈钢贮罐,2000L,三楼,V315,不锈钢
34,立式储罐,500L,三楼,091-V301,喷涂F40
35,开口溶解罐,300L,三楼,091-V302,不锈钢
9号楼一车间（粗品）,,,,,
1,液碱贮罐,6000L,一楼,092-18417-2,碳钢
2,快开式压滤包,ф600*500,一楼,092-18707,不锈钢
3,卧式储罐,2500L,一楼,092-18712-3,不锈钢
4,平板离心机,PB1000,一楼,092-18718-1,不锈钢
5,不锈钢槽,1000*800*600,一楼,092-18719,不锈钢
6,卧式储罐,300L,一楼,092-18723-1,不锈钢
7,卧式储罐,300L,一楼,092-18723-2,不锈钢
8,卧式储罐,300L,一楼,092-18726-1,不锈钢
9,卧式储罐,300L,一楼,092-18726-2,不锈钢
10,氮气缓冲罐,300L,一楼,092-18729-1,碳钢
11,氮封缓冲罐,300L,一楼,092-18729-2,不锈钢
12,泄爆罐,500L,一楼,092-18764,
13,卧式储罐,300L,一楼,092-18767,不锈钢
14,螺旋缠绕式换热器,QL9.99.08-10.5,一楼,092-18770-1,不锈钢
15,螺旋缠绕式换热器,QL9.99.08-10.5,一楼,092-18770-2,不锈钢
16,袋式过滤器,30L,一楼,092-18772,不锈钢
17,精密过滤器,"XJL-3-20""",一楼,092-18773,不锈钢
18,搪玻璃釜,KR2000,二楼,092-18708,搪玻璃
19,搪玻璃釜,2000L,二楼,092-18709,搪玻璃
20,储罐,2000L,二楼,092-18712-1,碳钢
21,储罐,2000L,二楼,092-18712-2,碳钢
22,搪玻璃釜,KR2000,二楼,092-18716-1,搪玻璃
23,搪玻璃釜,KR2000,二楼,092-18716-2,搪玻璃
24,搪玻璃釜,KR2000,二楼,092-18717,搪玻璃
25,卧式储罐,300L,二楼,092-18765,不锈钢
26,搪玻璃釜,2000L,三楼,092-18701-1,搪玻璃
27,搪玻璃釜,KR2000,三楼,092-18701-2,搪玻璃
28,储罐,500L,三楼,092-18703,不锈钢
