序名,设备名称,规格型号,安装位置,设备编号,备注
2,罗茨真空机组,JZJP2S300+21,一楼,063-P306-2,组合件
3,罗茨真空机组,,一楼,063-P306-3,组合件
4,蒸馏塔,3000L,一楼,063-T301,不锈钢
5,真空缓冲罐,200L,一楼,063-V304,碳钢
6,方箱,1600*1000*1000,一楼,063-V305,不锈钢
7,卧式储罐,200L,一楼,063-V306,不锈钢
8,不锈钢贮罐,5000L,一楼,063-V309-1,不锈钢
9,不锈钢贮罐,5000L,一楼,063-V309-2,不锈钢
10,真空缓冲罐,200L,一楼,063-V310-1,碳钢
11,真空缓冲罐,200L,一楼,063-V310-2,碳钢
12,真空缓冲罐,300L,一楼,063-V310-3,碳钢
13,导热油储罐,2000L,一楼,063-V315,不锈钢
14,泄爆罐,800L,一楼,063-V320,不锈钢
15,储罐,500L,一楼,063-V322,搪玻璃
16,反应釜,5000L,一楼,063-V323,玻璃钢
17,降膜蒸发器,20㎡,二楼,063-E301-1,不锈钢
18,降膜蒸发器,20㎡,二楼,063-E301-2,不锈钢
19,反应釜,KR3000,二楼,063-R301-1,不锈钢
20,反应釜,KR3000,二楼,063-R301-2,不锈钢
21,蒸馏釜,FR1000,二楼,063-R303-1,不锈钢
22,蒸馏釜,FR1000,二楼,063-R303-2,不锈钢
23,蒸馏釜,1000L,二楼,063-R303-3,不锈钢
24,前沸罐,300L,二楼,063-V307-1,不锈钢
25,前沸罐,300L,二楼,063-V307-2,不锈钢
26,前沸罐,300L,二楼,063-V307-3,不锈钢
27,接受罐,1000L,二楼,063-V308-1,不锈钢
28,接受罐,1000L,二楼,063-V308-2,不锈钢
29,接受罐,1000L,二楼,063-V308-3,不锈钢
30,乙醇计量罐,1000L,二楼,063-V313,不锈钢
31,锥底储罐,3000L,二楼,063-V325,不锈钢
32,蒸馏釜,3000L,三楼,063-R302-1,S30408
33,蒸馏釜,3000L,三楼,063-R302-2,S30408
34,溶解过滤器,3000L,三楼,063-R304,S30408
35,计量罐,5000L,三楼,063-V301-1,不锈钢
36,计量罐,5000L,三楼,063-V301-2,不锈钢
37,计量罐,1000L,三楼,063-V303-1,不锈钢
38,计量罐,1000L,三楼,063-V303-2,不锈钢
39,接受罐,200L,三楼,063-V312,不锈钢
