序名,设备名称,规格型号,安装位置,设备编号,备注
39,立式储罐,200L,三楼,073-V301,喷涂特氟龙
40,立式储罐,200L,三楼,073-V302,喷涂特氟龙
41,卧式储罐,200L,三楼,073-V303,不锈钢304
7号楼五车间（粗品）,,,,,
1,蒸馏釜/塔,2000L/DN800,一楼,072-T401,不锈钢
2,方箱,1000*1000*500,一楼,072-V302,不锈钢
3,方箱,,一楼,072-V304,不锈钢
4,空气储罐,29L,一楼,072-V305,不锈钢
5,移动储罐,1000L,一楼,072-V306,不锈钢
6,贮罐,2000L,一楼,072-V310,不锈钢
7,储罐,2000L,一楼,072-V313-1,不锈钢
8,储罐,2000L,一楼,072-V313-2,不锈钢
9,真空缓冲罐,300L,一楼,072-V316,不锈钢
10,氮封缓冲罐,500L,一楼,072-V317-1,不锈钢
11,氮气缓冲罐,300L,一楼,072-V317-2,碳钢
12,泄爆罐,500L,一楼,072-V318,不锈钢
13,地槽,500L,一楼,072-V319,不锈钢
14,储罐,300L,一楼,072-V320,不锈钢
15,真空缓冲罐,300L,一楼,072-V321,不锈钢
16,储罐,300L,一楼,072-V322,不锈钢
17,冷却罐,600L,一楼,072-V323,不锈钢
18,冷媒箱,1500*2000*1500,一楼,072-V324-1,碳钢
19,热媒箱,1300*2000*1500,一楼,072-V324-2,碳钢
20,卧式储罐,3000L,一楼,072-V401,不锈钢
21,计量罐,300L,一楼,072-V402,不锈钢
22,热水罐,1000L,一楼,072-V608,不锈钢
23,冷水罐,1000L,一楼,072-V609,不锈钢
24,平板全封闭离心机,PB-1000,一楼,072-X302,不锈钢
25,双锥旋转干燥机,SZG-T2000,一楼,072-X304,搪玻璃
26,气水分离器,50L,一楼,072-X305,不锈钢
27,袋式过滤器,30L,一楼,072-X306,不锈钢
28,反应釜,KR3000,二楼,072-R302-1,搪玻璃
29,反应釜,KR3000,二楼,072-R302-2,搪玻璃
30,反应釜,KR1000,二楼,072-R603,搪玻璃
31,不锈钢贮罐,2000L,二楼,072-V301-1,不锈钢
32,不锈钢贮罐,2000L,二楼,072-V301-2,不锈钢
33,不锈钢计量罐,500L,二楼,072-V307,不锈钢
34,卧式储罐,300L,二楼,072-V325,不锈钢
