序号,气体浓度探测器检测气体类型,配置地点,备注
136,有毒气体探测器,14#溴素罐V003旁,
137,可燃气体探测器,固废仓库,
138,可燃气体探测器,固废仓库,
139,可燃气体探测器,固废仓库,
140,可燃气体探测器,固废仓库,
141,可燃气体探测器,固废仓库,
142,可燃气体探测器,固废仓库,
143,可燃气体探测器,罐区西北角,
144,可燃气体探测器,甲类库,
145,可燃气体探测器,甲类库,
146,有毒气体探测器,14#二层R101-3旁,
147,有毒气体探测器,14#V003储罐,
148,可燃气体探测器,罐区V017无水乙醇储罐南,
149,可燃气体探测器,罐区V011氯仿储罐南,
150,有毒气体探测器,14#V005储罐,
151,有毒气体探测器,14#二层R101-1旁,
152,有毒气体探测器,14#V004储罐,
153,有毒气体探测器,14#二层R102-1旁,
154,有毒气体探测器,14#二层V101-2旁,
155,可燃气体探测器,14#二层V110旁,
156,可燃气体探测器,14#-层V107-2旁,
157,可燃气体探测器,14#-层V107-3旁,
158,可燃气体探测器,14#-层P101-1旁,
159,可燃气体探测器,14#-层P116-2旁,
160,可燃气体探测器,14#-层V206-2旁,
161,可燃气体探测器,14#-层V201旁,
162,可燃气体探测器,14#二层R106-2旁,
163,可燃气体探测器,14#二层R204-2旁,
164,可燃气体探测器,罐区V016甲苯储罐南,
165,可燃气体探测器,罐区V014制氢甲醇储罐南,
166,可燃气体探测器,罐区V011氯仿储罐南,
167,可燃气体探测器,罐区V008工业甲醇储罐南,
168,可燃气体探测器,罐区V008工业甲醇储罐北,
169,可燃气体探测器,罐区V011氯仿储罐北,
170,可燃气体探测器,罐区V014制氢甲醇储罐北,
171,可燃气体探测器,14#三层R105-2旁,
172,氢气气体探测器,甲类库,
173,氢气气体探测器,甲类库,
