"序
号",检查内容,依据,检查结果,结论
5.2,"贮存化学危险品的仓库应设专人管理，
必须配备有专业知识的技术人员。",GB 15603-2022,"仓库有专人管理，有
专业知识。",符合
5.3,"仓库工作人员应进行培训，经考核合格
后持证上岗。",GB 15603-2022,"储存保管员经培训、
考核上岗。",符合
5.4,"应制订危险化学品仓库工作人员安全生
产责任制。",《安全生产法》,"已制订各级人员岗位
责任制。",符合
5.5,"危险化学品生产、储存企业必须建立、
健全危险化学品安全管理制度，一般包
括：1.危险化学品从业人员安全教育培
训考核制度；2.危险化学品储存管理制
度；3.危险化学品使用安全管理制度；
4.危险化学品运输管理制度；5.危险化学
品废弃物管理制度；6.危险化学品出入
库管理制度。","《安全生产
法》、《危险化学
品安全管理条
例》","企业已建立相应安全
管理制度。",符合
