序,,,,,
,名称,文件编,码,执行日期,编订部门
号,,,,,
36,承包商安全管理制度,YSE-SOP,137,2022/12/13,安环部
37,吊装作业安全管理制度,YSE-SOP,138,2023/11/27,安环部
,重大危险源安全管理制度,,,,
38,（含重大危险源安全包保责任制管理制,YSE-SOP,139,2023/05/25,安环部
,度等）,,,,
39,防火、防爆、防尘、防毒安全管理制度,YSE-SOP,140,2021/08/10,安环部
,环境健康安全（EHS）绩效监测和测量管,,,,
,,,,,安环部
40,,YSE-SOP,141,2023/11/27,
,理,,,,
41,员工安全行为激励制度,YSE-SOP,142,2023/09/15,安环部
42,班组安全活动管理制度,YSE-SOP,143,2023/07/15,安环部
43,高温作业安全管理制度,YSE-SOP,144,2023/10/20,安环部
44,事故隐患排查治理制度,YSE-SOP,145,2021/12/15,安环部
45,气瓶管理制度,YSE-SOP,146,2023/08/08,安环部
46,应急管理制度,YSE-SOP,147,2021/06/08,安环部
47,泄漏检测与修复管理制度,YSE-SOP,148,2022/01/25,安环部
48,EHS专项检查制度,YSE-SOP,149,2021/12/15,安环部
49,化工生产装置开停车安全管理程序,YSE-SOP,150,2022/10/15,安环部
50,员工遭受伤害救援程序,YSE-SOP,151,2023/11/26,安环部
51,易制毒化学品管理制度,YSE-SOP,153,2021/03/12,安环部
52,盲板抽堵作业安全管理制度,YSE-SOP,154,2023/12/10,安环部
53,防泄漏及土壤污染管理程序,YSE-SOP,155,2023/12/20,安环部
54,双重预防机制管理程序,YSE-SOP,156,2022/11/22,安环部
55,风险分级管控管理制度,YSE-SOP,157,2022/11/30,安环部
56,易制爆化学品管理制度,YSE-SOP,158,2021/10/10,安环部
57,管理评审制度,YSE-SOP,160,2021/11/14,安环部
58,安全投入保障制度,YSE-SOP,161,2024/01/01,安环部
,环境健康安全（EHS）目标、指标和管理,,,,
,,,,,安环部
59,,YSE-SOP,162,2021/12/30,
,方案,,,,
60,危险化学品运输管理制度,YSE-SOP,163,2021/11/30,安环部
61,反应性化学品危害管理,YSE-SOP,164,2022/01/18,安环部
62,劳动防护用品管理制度,YSE-SOP,165,2021/09/28,安环部
,环境健康安全（EHS）法律法规、其他要,,,,
,,,,,安环部
63,,YSE-SOP,166,2021/09/25,
,求及合规性评价管理制度,,,,
64,EHS会议管理制度,YSE-SOP,167,2022/06/08,安环部
65,应急器材管理维护保养制度,YSE-SOP,168,2021/06/20,安环部
66,异常工况应急处置授权决策程序,YSE-SOP,171,2021/12/15,安环部
67,对相关方施加环境健康安全（EHS）,YSE-SOP,174,2022/09/28,安环部
68,工艺与安全技术知识管理制度（PKM）,YSE-SOP,175,2022/10/15,安环部
69,试生产安全管理规定,YSE-SOP,176,2022/12/05,安环部
