序,,,,,,,外部,下次外部
号,设备名称,使用证编号,使用部门,内部编号,材质,规格型号,检验日期,检验日期
69,加氢还原釜,容15浙J15054(20),3号楼二车间加氢二楼,R202-6,不锈钢,1.69m3,2023/8/8,2026/8/7
70,加氢还原釜,容15浙J15052(20),3号楼二车间加氢二楼,R202-2,不锈钢,1.69m3,2023/4/1,2026/4/28
71,加氢还原釜,容15浙J15053(20),3号楼二车间加氢二楼,R202-3,不锈钢,1.69m3,2023/3/14,2026/4/28
72,加氢还原釜,容15浙J24806(23),3号楼二车间加氢二楼,R202-4,不锈钢,1.69m3,2023/2/7,2026/2/7
73,加氢还原釜,容15浙J15051(20),3号楼二车间加氢二楼,R202-1,不锈钢,1.69m3,2023/4/1,2026/5/5
74,加氢还原釜,容15浙J15055(20),3号楼二车间加氢二楼,R202-5,不锈钢,1.69m3,2023/4/1,2026/5/5
75,不锈钢夹套卧式储罐,容17浙J19405(22),3号楼二车间,V203-1,不锈钢,5000L,2021/7/8,2024/7/7
76,不锈钢夹套卧式储罐,容17浙J19406(22),3号楼二车间,V203-2,不锈钢,5000L,2021/7/8,2024/7/5
77,不锈钢立式储罐,容17浙J22539(23),3号楼二车间制氢一楼,.034-V206,不锈钢,500L,2023/8/30,2026/8/30
78,氮气储罐,容17浙J12060(19),6号楼二车间北,V805,碳钢,300L,2022/12/22,2026/1/15
79,氮气储罐,容17浙J10151(17),6号楼二车间精环一楼,V823-2,Q235B,300,2022/12/22,2026/1/15
80,多功能过滤机,容15浙JOA022(15),6号楼二车间精环一楼,X807-1,组合件,GXG2600,2023/5/15,2026/6/6
81,多功能过滤机,容15浙JOA023(15),6号楼二车间精环一楼,X807-2,组合件,GXG2600,2023/5/15,2026/6/6
82,不锈钢夹套储罐,容15浙J24349（22）,6号楼二车间环合三楼,062-R503-1,不锈钢,800L,2022/8/24,2025/8/23
83,不锈钢夹套储罐,容15浙J24350（22）,6号楼二车间环合三楼,062-R503-2,不锈钢,800L,2022/8/24,2025/8/23
84,夹套接受罐,容15浙J16092(20),6号楼二车间环合三楼,R503-3,不锈钢,800L,2023/5/15,2026/6/23
85,不锈钢夹套储罐,容15浙J24351（22）,6号楼二车间环合三楼,062-R503-4,不锈钢,800L,2022/8/24,2025/8/23
86,不锈钢接受罐,容15浙J24359（22）,6号楼二车间浓缩,063-V308-1,不锈钢,1000L,2022/8/12,2025/8/11
87,不锈钢接受罐,容15浙J16090(20),6号楼二车间浓缩二楼,V308-2,不锈钢,1000L,2023/5/15,2026/5/5
88,不锈钢接受罐,容15浙J24361（22）,6号楼二车间浓缩,063-V308-3,不锈钢,1000L,2022/8/12,2025/8/11
89,前沸罐,容15浙J24356（22）,6号楼二车间浓缩,063-V307-1,不锈钢,300L,2022/8/24,2025/8/23
90,前沸罐,容15浙J24357（22）,6号楼二车间浓缩,063-V307-2,不锈钢,300L,2022/8/24,2025/8/23
91,前沸罐,容15浙J24358（22）,6号楼二车间浓缩,063-V307-3,不锈钢,300L,2022/8/24,2025/8/23
