,工程控制：,密闭操作，局部排风。
,,空气中浓度超标时，必须佩带防毒面具。紧急事态抢救或逃生时，佩
防,,带自给式呼吸器。高于NIOSH REL浓度或尚未建立REL，任何可检
,呼吸系统防护：,测浓度下：自携式正压全面罩呼吸器、供气式正压全面罩呼吸器辅之
护,,以辅助自携式正压呼吸器。逃生：装有机蒸气滤毒盒的空气净化式全
,,面罩呼吸器(防毒面具)、自携式逃生呼吸器。
措,眼睛防护：,戴化学安全防护眼镜。
,防护服：,穿相应的防护服。
施,,
,手防护：,必要时戴防化学品手套。
,,工作现场禁止吸烟、进食和饮水。工作后，淋浴更衣。单独存放被毒
,其他：,
,,物污染的衣服，洗后再用。注意个人清洁卫生。
,,疏散泄漏污染区人员至安全区，禁止无关人员进入污染区，建议应急
,,处理人员戴自给式呼吸器，穿化学防护服。不要直接接触泄漏物，在
,泄漏处置：,确保安全情况下堵漏。喷雾状水，减少蒸发。用沙土、蛭石或其它惰
,,性材料吸收，然后收集运至废物处理场所处置。如大量泄漏，利用围
,,堤收容，然后收集、转移、回收或无害处理后废弃。
,,盐酸
,中文名：,盐酸；氢氯酸
,英文名：,Hydrochloric acid；Chlorohydric acid
,分子式：,HCl
,分子量：,36.46
标,CAS号：,7647-01-0
识,RTECS号：,MW4025000
,UN/CN编号：,1789/81013
,危险化学品序号：,2507
,特殊事项：,第三类易制毒
,IMDG规则页码：,8183
,外观与性状：,无色或微黄色发烟液体，有刺鼻的酸味。
,,重要的无机化工原料，广泛用于染料、医药、食品、印染、皮革、冶
,主要用途：,
,,金等行业。
,熔点：,-114.8(纯)
,沸点：,108.6(20%)
理,,
化,相对密度(水=1)：,1.20
性,相对密度(空气=1):,1.26
质,饱和蒸汽压(kPa)：,30.66/21℃
,溶解性：,与水混溶，溶于碱液。UN1050(无水的)；UN2186(冷冻)
,临界温度(℃)：,
,临界压力(MPa)：,
,燃烧热(kj/mol)：,无意义
燃,避免接触的条件：,
