序,,,,,,,外部,下次外部
号,设备名称,使用证编号,使用部门,内部编号,材质,规格型号,检验日期,检验日期
46,搪玻璃开式反应罐,容15浙J23281(22),一车间13号楼废水处理,132-R301,搪玻璃,5000L,2021/12/30,2024/12/29
47,搪玻璃开式反应罐,容15浙J23282(22),一车间13号楼废水处理,132-R302,搪玻璃,3000L,2021/4/14,2024/4/13
48,搪玻璃开式反应罐,容15浙J23283(22),一车间13号楼废水处理,132-R304,搪玻璃,2000L,2022/4/2,2025/4/1
49,空气储罐,容17浙J15022(20),13号楼一车间废水处理一楼,132-V111,不锈钢,300L,2023/5/12,2026/5/25
50,蒸馏塔釜,容17浙J15021(20),13号楼一车间废水处理一楼,132-T202,不锈钢,1000L,2023/5/12,2026/6/19
51,氮气储罐,容17浙J12054(19),13号楼一车间杂环回收一楼,18442-2,不锈钢,300L,2023/12/7,2027/1/23
52,氮气储罐,容17浙J12055(19),14号楼一车间氯化锌回收一楼,141-V611,不锈钢,300L,2023/12/7,2027/1/23
53,过热器,容15浙J22216(22),3号楼二车间制氢一楼,E101,不锈钢,19.4m2,2021/6/8,2024/6/7
54,换热器,容15浙J13396(19),3号楼二车间制氢二楼,E102,不锈钢,22m2,2022/5/20,2025/6/18
55,冷却器,容17浙J20980(22),3号楼二车间制氢二楼,E103,不锈钢,32.7m2,2021/4/20,2024/4/19
56,氮气储罐,容17浙JOA663(16),3号楼二车间加氢一楼,V207,碳钢,3000L,2022/7/23,2025/7/24
57,气水分离器,容17浙J13055(19),3号楼二车间制氢一楼,V102,Q235A,0.05m3,2023/7/10,2026/8/9
58,转化气缓冲罐,容15浙J13397(19),3号楼二车间制氢二楼,V104,碳钢,3.28m3,2022/5/17,2025/5/7
59,氢气储罐,容15浙JOA659(16),3号楼二车间制氢一楼,V107-1,碳钢,20m3,2022/10/16,2025/9/6
60,氢气储罐,容15浙JOA660(16),3号楼二车间制氢一楼,V107-2,碳钢,20m3,2022/10/16,2025/9/6
61,空气储罐,容17浙J15471(21),3号楼二车间制氢一楼,V110,碳钢,6m3,2023/10/9,2026/11/12
62,汽化塔,容15浙J13398(19),3号楼二车间制氢一楼,T101,不锈钢,20.6㎡,2021/9/29,2024/9/28
63,水洗塔,容15浙J13399(19),3号楼二车间制氢一楼,T102,不锈钢,0.28m³,2022/5/17,2025/5/12
64,吸附塔,容15浙J13400(19),3号楼二车间制氢二楼,T201A,碳钢,1.83m³,2022/5/17,2025/5/12
65,吸附塔,容15浙J13401(19),3号楼二车间制氢二楼,T201B,碳钢,1.83m³,2022/5/17,2025/5/12
66,吸附塔,容15浙J13402(19),3号楼二车间制氢二楼,T201C,碳钢,1.83m³,2022/5/17,2025/5/12
67,吸附塔,容15浙J13403(19),3号楼二车间制氢二楼,T201D,碳钢,1.83m³,2022/5/17,2025/5/9
68,转化炉,容15浙JOA127(15),3号楼二车间制氢二楼,R101,碳钢,144m2,2021/9/13,2024/9/12
