序,设备,报警,设定值,联锁,设定值,
,,,,,,联锁对应动作
号,编号,（,H/L）,（H,H/LL）,
8号楼,一车间亚油,SIS,,,,
,,H,/,HH,80℃,联锁关闭亚硝酸钠切断阀（XZV-183023-1）、关闭夹套
,,,,,,蒸汽进切断阀（XZV-183013-4）、关闭夹套冷凝水出切
1,R183013-2,H,/,HH,0.100MPa,断阀（XZV-183013-8）、打开夹套循环水回切断阀
,,,,,,（XZV-183013-2）、打开夹套循环水进切断阀
,,／,/,／,NC,（XZV-183013-6）。
,,H,/,HH,80℃,联锁关闭亚硝酸钠切断阀（XZV-183024-1）、关闭夹套
,,,,,,蒸汽进口切断阀（XZV-183014-4）、关闭夹套冷凝水出
2,R183014-2,H,/,HH,0.100MPa,切断阀（XZV-183014-8）、打开夹套循环水回切断阀
,,,,,,（XZV-183014-2）、打开夹套循环水进切断阀
,,／,/,／,NC,（XZV-183014-6）。
3号楼,二车间加氢,SIS,,,,
1,,H,113℃,HH,115℃,联锁关闭缩合物进料阀(XZV-R2021-18)、关闭氢气切断
,,,,,,阀 (XZV-R2021-2) 、 关 闭 夹 套 蒸 汽 进 切 断 阀
2,R202-1,H,1.100MPa,HH,1.130MPa,(XZV-R2021-10)、关闭疏水阀(XZV-R2021-16)、开启循
,,,,,,环水进切断阀(XZV-R2021-12)、开启循环水回切断阀
3,,／,／,／,NO,(XZV-R2021-8)。
4,,H,113℃,HH,115℃,联锁关闭缩合物进料阀(XZV-R2022-18)、关闭氢气切断
,,,,,,阀 (XZV-R2022-2) 、 关 闭 夹 套 蒸 汽 进 切 断 阀
5,R202-2,H,1.100MPa,HH,1.130MPa,(XZV-R2022-10)、关闭疏水阀(XZV-R2022-16)、开启循
,,,,,,环水进切断阀(XZV-R2022-12)、开启循环水回切断阀
6,,／,／,／,NO,(XZV-R2022-8)
7,,H,113℃,HH,115℃,联锁关闭缩合物进料阀(XZV-R2023-18)、关闭氢气切断
,,,,,,阀 (XZV-R2023-2) 、 关 闭 夹 套 蒸 汽 进 切 断 阀
8,R202-3,H,1.100MPa,HH,1.130MPa,(XZV-R2023-10)、关闭疏水阀(XZV-R2023-16)、开启循
,,,,,,环水进切断阀(XZV-R2023-12)、开启循环水回切断阀
9,,／,／,／,NO,(XZV-R2023-8)
10,,H,113℃,HH,115℃,联锁关闭缩合物进料阀(XZV-R2024-18)、关闭氢气切断
,,,,,,阀 (XZV-R2024-2) 、 关 闭 夹 套 蒸 汽 进 切 断 阀
11,R202-4,H,1.100MPa,HH,1.130MPa,(XZV-R2024-10)、关闭疏水阀(XZV-R2024-16)、开启循
,,,,,,环水进切断阀(XZV-R2024-12)、开启循环水回切断阀
12,,／,／,／,NO,(XZV-R2024-8)
13,,H,113℃,HH,115℃,联锁关闭缩合物进料阀(XZV-R2025-18)、关闭氢气切断
,,,,,,阀 (XZV-R2025-2) 、 关 闭 夹 套 蒸 汽 进 切 断 阀
14,R202-5,H,1.100MPa,HH,1.130MPa,(XZV-R2025-10)、关闭疏水阀(XZV-R2025-16)、开启循
,,,,,,环水进切断阀(XZV-R2025-12)、开启循环水回切断阀
15,,／,／,／,NO,(XZV-R2025-8)
16,,H,113℃,HH,115℃,联锁关闭缩合物进料阀(XZV-R2026-18)、关闭氢气切断
,,,,,,阀 (XZV-R2026-2) 、 关 闭 夹 套 蒸 汽 进 切 断 阀
17,R202-6,H,1.100MPa,HH,1.130MPa,(XZV-R2026-10)、关闭疏水阀(XZV-R2026-16)、开启循
,,,,,,环水进切断阀(XZV-R2026-12)、开启循环水回切断阀
18,,／,／,／,NO,(XZV-R2026-8)
19,V203-1,L,3.0％,LL,2.0％,联锁停止加氢液转料泵P203-1和P203-2
20,V203-2,L,3.0％,LL,2.0％,联锁停止加氢液转料泵P203-1和P203-2
21,V201,L,1.0％,LL,0.5％,联锁停止乙醇输送泵P201
3号楼,二车间制氢,SIS,,,,
1,R101,H,265℃,HH,270.0℃,联锁停止甲醇进料泵P101
