序,设备,报警,设定值,联锁,设定值,
,,,,,,联锁对应动作
号,编号,（,H/L）,（H,H/LL）,
20,,H,0.300MPa,HH,0.350MPa,
21,,H,135℃,HH,140℃,
,V308-1,,,,,联锁关闭蒸汽进切断阀XV_V308_1_01
22,,H,0.120MPa,HH,0.140MPa,
23,,H,140℃,HH,150℃,
,V307-2,,,,,联锁关闭蒸汽进切断阀XV_V307_2_01
24,,H,0.300MPa,HH,0.350MPa,
25,,H,135℃,HH,140℃,
,V308-2,,,,,联锁关闭蒸汽进切断阀XV_V308_2_01
26,,H,0.120MPa,HH,0.140MPa,
27,,H,145℃,HH,150℃,
,V307-3,,,,,联锁关闭蒸汽进切断阀XV_V307_3_01
28,,H,0.300MPa,HH,0.350MPa,
29,,H,135℃,HH,140℃,
,V308-3,,,,,联锁关闭蒸汽进切断阀XV_V308_3_01
30,,H,0.120MPa,HH,0.140MPa,
31,,H,265℃,HH,270℃,
,R502-1,,,,,联锁关闭导热油进切断阀XV_R502_1_01
32,,H,0.120MPa,HH,0.140MPa,
33,,H,265℃,HH,270℃,
,R502-2,,,,,联锁关闭导热油进切断阀XV_R502_2_01
34,,H,0.120MPa,HH,0.140MPa,
35,,H,265℃,HH,270℃,
,R502-3,,,,,联锁关闭导热油进切断阀XV_R502_3_01
36,,H,0.120MPa,HH,0.140MPa,
37,,H,265℃,HH,270℃,
,R502-4,,,,,联锁关闭导热油进切断阀XV_R502_4_01
38,,H,0.120MPa,HH,0.140MPa,
39,,H,265℃,HH,270℃,
,R502-5,,,,,联锁关闭导热油进切断阀XV_R502_5_01
40,,H,0.120MPa,HH,0.140MPa,
41,,H,193℃,HH,198℃,
,R503-1,,,,,联锁关闭导热油进切断阀XV_R503_1_01
42,,H,0.120MPa,HH,0.140MPa,
43,,H,193℃,HH,198℃,
,R503-2,,,,,联锁关闭导热油进切断阀XV_R503_2_01
44,,H,0.120MPa,HH,0.140MPa,
45,,H,193℃,HH,198℃,
,R503-3,,,,,联锁关闭导热油进切断阀XV_R503_3_01
46,,H,0.120MPa,HH,0.140MPa,
47,,H,193℃,HH,198℃,
,R503-4,,,,,联锁关闭导热油进切断阀XV_R503_4_01
48,,H,0.120MPa,HH,0.140MPa,
49,,H,193℃,HH,198℃,
,R503-5,,,,,联锁关闭导热油进切断阀XV_R503_5_01
50,,H,0.120MPa,HH,0.140MPa,
51,,H,130℃,HH,135℃,
,,,,,,联锁关闭蒸汽进切断阀XV_R702_01，联锁关闭夹套蒸
52,R702,H,0.120MPa,HH,0.140MPa,
,,,,,,汽进调节阀TV_R702_01
53,,H,1350mm,HH,1370mm,
54,,H,145℃,HH,150℃,
,R901,,,,,联锁关闭蒸汽进切断阀XV_R901_01
55,,H,0.120MPa,HH,0.140MPa,
56,,H,145℃,HH,150℃,
,R903,,,,,联锁关闭蒸汽进切断阀XV_R903_01
57,,H,0.120MPa,HH,0.140MPa,
