序,,,检查
,检查内容,实际情况,
号,,,结果
,人、操作负责人；,控有关数据接入危险化学品,
,（二）组织制定重大危险源安全生产规章制度和,安全生产风险监测预警系,
,操作规程，并采取有效措施保证其得到执行；,统。,
,（三）组织对重大危险源的管理和操作岗位人员,,
,进行安全技能培训；,,
,（四）保证重大危险源安全生产所必需的安全投,,
,入；,,
,（五）督促、检查重大危险源安全生产工作；,,
,（六）组织制定并实施重大危险源生产安全事故,,
,应急救援预案；,,
,（七）组织通过危险化学品登记信息管理系统填,,
,报重大危险源有关信息，保证重大危险源安全监,,
,测监控有关数据接入危险化学品安全生产风险监,,
,测预警系统。,,
,重大危险源的技术负责人，对所包保的重大危险,,
,源负有下列安全职责：,,
,（一）组织实施重大危险源安全监测监控体系建,,
,设，完善控制措施，保证安全监测监控系统符合,,
,国家标准或者行业标准的规定；,,
,（二）组织定期对安全设施和监测监控系统进行,企业制定有《重大危险源安,
,检测、检验，并进行经常性维护、保养，保证有,全包保责任制管理制度》，,
,效、可靠运行；,明确有技术负责人的安全职,
,（三）对于超过个人和社会可容许风险值限值标,责，定期组织进行隐患排查、,
,准的重大危险源，组织采取相应的降低风险措施，,应急预案演练，并定期对监,
,,,符合
12,,,
,直至风险满足可容许风险标准要求；,测监控系统进行检验、检测。,
,（四）组织审查涉及重大危险源的外来施工单位,,
,及人员的相关资质、安全管理等情况，审查涉及,但不涉及超过个人和社会可,
,重大危险源的变更管理；,容许风险值限值标准的重大,
,（五）每季度至少组织对重大危险源进行一次针,危险源,
,对性安全风险隐患排查，重大活动、重点时段和,,
,节假日前必须进行重大危险源安全风险隐患排,,
,查，制定管控措施和治理方案并监督落实；,,
,（六）组织演练重大危险源专项应急预案和现场,,
,处置方案。,,
,重大危险源的操作负责人，对所包保的重大危险,,
,源负有下列安全职责：,企业制定有《重大危险源安,
,（一）负责督促检查各岗位严格执行重大危险源,全包保责任制管理制度》，,
,安全生产规章制度和操作规程；,明确有操作负责人的安全职,
13,（二）对涉及重大危险源的特殊作业、检维修作,责，定期组织进行隐患排查，,符合
,业等进行监督检查，督促落实作业安全管控措施；,严格执行重大危险源安全生,
,（三）每周至少组织一次重大危险源安全风险隐,产规章制度和操作规程，督,
,患排查；,促落实作业安全管控措施。,
,（四）及时采取措施消除重大危险源事故隐患。,,
,危险化学品企业应当在重大危险源安全警示标志,重大危险源安全警示标志位,
,位置设立公示牌，写明重大危险源的主要负责人、,置设立有公示牌，明确有安,
14,,,符合
,技术负责人、操作负责人姓名、对应的安全包保,全包保职责及联系方式，接,
,职责及联系方式，接受员工监督。,受员工监督。,
