序,,,,检查
,检查内容,检查依据,实际情况,
号,,,,结果
,一般情况安装固定式可燃气体或有毒气,,,
,体监测报警仪。但是，若没有相关固定,,,
,式监测报警仪或无安装固定式检报警测,AQ3036-2010,溴素罐旁安装固定式,
16,,,,符合
,仪的条件，或属于非长期固定的生产场,第7.1.6条,有毒气体检测报警仪。,
,所的，可使用便携式仪器监测，或者采,,,
,样监测。,,,
,可燃气体或易燃液体储罐场所，在防火,,,
,堤内每隔20m～30m 设置一台可燃气体,,,
,,,可燃气体检测报警器,
,,AQ3036-2010,,
17,报警仪，且监测报警器与储罐的排水口、,第7.2.1.1条,按照设计要求安装。,符合
,连接处、阀门等易释放物料处的距离不,,,
,宜大于15m。,,,
,可燃气体监测探头安装可采用房顶吊,,,
,,,可燃气体探测器根据,
,装、墙壁安装或抱管安装等方式，应确,AQ3036-2010,,
18,保安装牢固可靠，同时应考虑便于维护、,第7.3.1条,设计要求安装，便于维,符合
,,,护、标定。,
,标定。,,,
,可燃气及有毒气体浓度报警器的安装高,,,
,度，应按探测介质的比重以及周围状况,,,
,等因素来确定。当被监测气体的比重小,,,
,于空气的比重时，可燃气体监测探头的,AQ3036-2010,气体探测器的安装位,
19,,,,符合
,安装位置应高于泄漏源0.5m以上；被监,第7.3.2条,置符合规范要求。,
,测气体的比重大于空气的比重时，安装,,,
,位置应在泄漏源下方，但距离地面不得,,,
,小于0.3m。,,,
,可燃及有毒气体监测探头安装时，应保,AQ3036-2010,气体探测器的传感器,
20,,,,符合
,证传感器垂直朝下固定。,第7.3.4条,垂直朝下固定。,
,可燃气体及有毒气体探测器应避开强机,,,
,,,气体探测器安装位置,
,械或电磁干扰，避开强风尘及其他自然,AQ3036-2010,,
21,污染源，且周围应留有不小于 的净,第7.3.6条,避开强机械或电磁干,符合
,0.3m,,扰等场所。,
,空间。,,,
,可燃气体的监测报警，一般选用催化燃,,,
,烧式可燃气体监测报警仪，也可选用红,AQ3036-2010,采用催化燃烧式可燃,
22,,,,符合
,外式、半导体式或光纤式等仪器，微量,第7.4.3条,气体监测报警仪。,
,泄漏时可优先选用半导体式。,,,
,配备检漏、防漏和堵漏装备和工具器材，,AQ3036-2010,,
23,,,配备了堵漏工具。,符合
,泄漏报警时，可及时控制泄漏。,第7.6.1条,,
,,,配备了空气呼吸器、防,
,针对罐区物料的种类和性质，配备相应,AQ3036-2010,,
24,的个体防护用品，泄漏时用于应急防护。,第7.6.2条,毒面具、化学防护服等,符合
,,,个体防护用品。,
,防雷装备按GB50074设置。定期监测避,,罐区防雷接地装置定,
,,AQ3036-2010,,
25,雷针（网、带）的接地电阻，不得大于,第8.3条,期经有资质单位检测,符合
,10Ω。,,合格。,
,易于发生火灾且难以快速报警的场所，,,14 号车间设有火灾报,
,,AQ3036-2010,,
26,应按要求设置火灾报警按钮，控制室、,第9.1.2条,警按钮，控制室内设有,符合
,操作室应设置声光报警控制装置。,,声光报警控制装置。,
,罐区消防灭火装备的设置应符合,AQ3036-2010,,
27,,,不涉及。,——
,GB50160 和GB50074 的要求。,第9.2.1条,,
