,中文名：,亚硝酸钠
,英文名：,Sodium nitrite
,分子式：,"NaNO
2"
标,分子量：,69.01
,CAS号：,7632-00-0
,RTECS号：,RA1225000
识,UN/CN编号：,1500/51525
,危险化学品序号：,2492
,特殊事项：,重大危险源临界量：W9.2，氧化性固体，类别3，200t
,IMDG规则页码：,5181
,外观与性状：,白色或淡黄色细结晶，无臭，略有咸味，易潮解。
,主要用途：,用于染料、医药等的制造，也用于有机合成。
,熔点：,271
理,,
,沸点：,320(分解)
化,相对密度(水=1)：,2.17
,相对密度(空气=1):,无资料
性,饱和蒸汽压(kPa)：,无资料
,溶解性：,易溶于水，微溶于乙醇、甲醇、乙醚。
质,,
,临界温度(℃)：,分解温度(℃)：320
,临界压力(MPa)：,
,燃烧热(kj/mol)：,无意义
,避免接触的条件：,接触空气。
,燃烧性：,助燃
,建规火险类别：,乙
燃,,
,闪点(℃)：,无意义
烧,自燃温度(℃)：,无意义
,爆炸下限(V%)：,无意义
爆,爆炸上限(V%)：,无意义
,,暴露在空气中会被氧化而变质。与还原剂、有机物、易燃物如硫、磷
炸,,
,危险特性：,或金属粉末等混合可形成爆炸性混合物，急剧加热时可发生爆炸。
,,易燃性(红色)：0 反应活性(黄色)：1 特殊危险：氧化剂
危,,
,燃烧(分解)产物：,氮氧化物。
险,稳定性：,稳定
,聚合危害：,不能出现
性,,
,禁忌物：,强还原剂、活性金属粉末、强酸。
,,雾状水、砂土。如果该物质或被污染的流体进入水路，通知有潜在水
,灭火方法：,体污染的下游用户，通知地方卫生、消防官员和污染控制部门。在安
,,全防爆距离以外，使用雾状水冷却暴露的容器。
