序,,,,,,,外部,下次外部
号,设备名称,使用证编号,使用部门,内部编号,材质,规格型号,检验日期,检验日期
23,多功能过滤机,容15浙JOA027(15),9号楼一车间粗品一楼,18756-1,组合键,GXG1800,2023/1/3,2026/2/9
24,多功能过滤机,容15浙JOA026(15),9号楼一车间粗品一楼,18756-2,组合件,GXG1800,2023/1/16,2026/2/9
25,搪玻璃反应釜,容17浙J11755(18),9号楼一车间粗品二楼,18709,搪玻璃,2000L,2023/6/7,2026/11/6
26,搪玻璃反应釜,容15浙J15466(20),9号楼一车间粗品三楼,18701-1,搪玻璃,2000L,2023/5/12,2026/5/13
27,搪玻璃反应釜,容15浙J15467(20),9号楼一车间粗品三楼,18701-2,搪玻璃,2000L,2023/5/15,2026/5/13
28,搪玻璃反应釜,容15浙J15468(20),9号楼一车间粗品三楼,18722,搪玻璃,2000L,2023/5/12,2026/5/13
29,搪玻璃反应釜,容15浙J15469(20),9号楼一车间粗品三楼,18758,搪玻璃,2000L,2023/5/15,2026/5/13
30,搪玻璃反应釜,容17浙J13878(20),9号楼一车间亚油回收二楼,091-R301,搪玻璃,1000L,2023/11/27,2025/11/15
31,搪玻璃反应釜,容17浙J13054(19),9号楼一车间亚油回收二楼,091-R302,搪玻璃,2000L,2021/3/3,2024/3/21
32,搪玻璃反应釜,容17浙J12045(19),9号楼一车间亚油回收二楼,091-R303,搪玻璃,2000L,2023/11/27,2025/11/18
33,氮气储罐,容17浙JOA810(17),9号楼一车间粗品扩产一楼,093-V708-1,碳钢,300L,2022/5/17,2025/5/9
34,气体储罐,容17浙J22435(23）,9号楼一车间粗品扩产一楼,093-V708-3,不锈钢,300L,2023/8/15,2026/8/14
35,多功能过滤机,容15浙JOA806(17),9号楼一车间粗品扩产一楼,093-X701,组合件,GXG1800,2022/3/16,2025/3/7
36,搪玻璃反应釜,容17浙JOA815(17),9号楼一车间粗品扩产三楼,093-R701-1,搪玻璃,2000L,2022/2/20,2025/3/29
37,搪玻璃反应釜,容17浙JOA816(17),9号楼一车间粗品扩产三楼,093-R701-2,搪玻璃,2000L,2022/2/20,2025/3/29
38,搪玻璃反应釜,容17浙JOA817(17),9号楼一车间粗品扩产二楼,093-R702-1,搪玻璃,2000L,2022/2/20,2025/3/29
39,搪玻璃反应釜,容17浙JOA818(17),9号楼一车间粗品扩产二楼,093-R702-2,搪玻璃,2000L,2022/4/13,2025/4/6
40,搪玻璃反应釜,容15浙JOA808(17),9号楼一车间粗品扩产三楼,093-R703-1,搪玻璃,5000L,2022/4/16,2025/4/8
41,搪玻璃反应釜,容15浙JOA807(17),9号楼一车间粗品扩产三楼,093-R703-2,搪玻璃,5000L,2022/4/13,2025/4/8
42,搪玻璃反应釜,容17浙JOA819(17),9号楼一车间粗品扩产三楼,093-R704,搪玻璃,2000L,2022/4/13,2025/4/6
43,搪玻璃反应罐,容15浙J24807(23),9号楼一车间粗品扩产三楼,093-R705,搪玻璃,1000L,2023/2/7,2026/2/7
44,搪玻璃反应釜,容17浙JOA821(17),9号楼一车间粗品扩产二楼,093-R706,搪玻璃,2000L,2022/4/13,2025/4/6
45,搪玻璃反应釜,容17浙JOA820(17),9号楼一车间粗品扩产二楼,093-R707,搪玻璃,2000L,2022/4/13,2025/4/25
