,,厂房的安全出口应分散布置。每个防火分区、,,,,
,,一个防火分区的每个楼层，其相邻 2 个安全,,,,车间各有多个安全
,,,,符合,,
1.10,,,GB50016-2014,,,
,,出口最近边缘之间的水平距离不应小于,,,,出口。
,5,.0m。,,,,
,,厂房的每个防火分区、一个防火分区内的每,,,,
,,个楼层，其安全出口的数量应经计算确定，,,,,
1.11,,且不应少于 2 个；乙类厂房，每层建筑面积,GB50016-2014,符合,,满足规定要求。
,,小于等于150m2，且同一时间的生产人数不超,,,,
,,过10人，可设置1个安全出口。,,,,
,,厂房内任一点到最近安全出口的距离不应大,,,,
1.12,,,GB50016-2014,符合,,满足规定要求。
,,于表3.7.4 的规定。,,,,
2,,建筑标准,,,,
2.1,,地耐力及基础强度是否足够。,GB50016-2014,符合,,
,,,,,,耐火等级为二
2.2,,装置耐火等级是否达到国家相关要求。,GB50016-2014,符合,,
,,,,,,级。
,,台阶、地面、梯子、通路等是否按人机工,,,,窗扇和窗子对道
2.3,,程要求设计，窗扇和窗子对道路出入口是,GB50016-2014,符合,,路出入口无影
,,否会造成影响。,,,,响。
,,,,,,装置排水情况良
2.4,,建筑物排水情况如何。,GB50016-2014,符合,,
,,,,,,好。
,,,,,,装置照明按照规
,,各种构筑物、道路、避难通路、门等处的,,,,
2.5,,,GB50034-2012,符合,,范进行设计施
,,照明情况是否符合国家相关标准要求。,,,,
,,,,,,工。
3,,作业环境,,,,
,,危险性作业场所，必须设置安全通道；出,,,,生产车间出口不
,,入口不少于两个；门窗应向外开启；通道,GB/T12801-2008,,,少于 2 个，疏散
,,和出入口应保持畅通。疏散门的最小宽度,GB50016-2014,,,通道、安全出口
3.1,,,《中华人民共和,符合,,
,,不宜少于 0.9m，疏散走道的宽度不宜少于,,,,畅通，并设置有
,,1.4m。保障疏散通道、安全出口畅通，并,国消防法》,,,消防安全疏散标
,,设置符合国家规定的消防安全疏散标志。,,,,志。
,,作业区的布置应保证人员有足够的安全活,,,,
,,动空间。设备、工机具、辅助设施的布置，,,,,
,,生产物料、产品和剩余物料的堆放，人行,,,,作业区域有足够
3.2,,道、车行道的布置和间隔距离，都不应妨,GB/T12801-2008,符合,,的安全活动空
,,碍人员工作和造成危害；狭窄作业区，产,,,,间。
,,品、设备和工具的布置，除保证人员便于,,,,
,,作业外，还必须留出安全通道。,,,,
,,建（构）筑物的通风换气条件，应保证作,,,,各生产区采用自
3.3,,业环境空气中的危险和有害物质浓度不超,GB/T12801-2008,符合,,然通风和机械通
,,过国家标准和有关规定。,,,,风相结合。
,,生产单位应在危险化学品作业点，利用“安,《工作场所安全,,,
,,,,,,安全周知卡设置
,,全周知卡 或 安全标志 等方式，标明其危,使用化学品规定》,符合,,
3.4,,” “ ”,,,,完善。
,,险性。,第九条,,,
,,化工企业须采用密闭生产工艺，对因工艺,《浙江省化工行,,,
,,,,,,生产工艺密闭性
,,需要作业的加料、出料、分离、取样场所,业生产管理规范,,,
3.5,,必须采取可靠的防物料外泄的技术措施，,指导意见》,符合,,良好，无敞开式
,,,,,,反应设备。
,,严禁敞口作业。,第三十八条,,,
