序名,设备名称,规格型号,安装位置,设备编号,备注
40,氮气储罐,300L,三楼,063-V316,不锈钢
41,氮气储罐,300L,三楼,063-V317,不锈钢
42,空压缓冲罐,300L,三楼,063-V321,Q235B
43,储罐,600L,三楼,063-V324,S30408
44,厢式压滤器,XAR10/800-UK,三楼,063-X301,增强聚丙烯
45,溶解过滤器,3000L,三楼,063-X302,S30408
6号楼二车间（环合）,,,,,
1,罗茨真空机组,JLS-421.5,一楼,062-P501-1,组合件
2,罗茨真空机组,JZP2S300-21,一楼,062-P501-2,组合件
3,罗茨真空机组,JLS421.5,一楼,062-P501-3,碳钢
4,罗茨真空机组,JLS-421.5,一楼,062-P501-4,组合件
5,罗茨真空机组,J2S-321.5,一楼,062-P501-5,组合件
6,反应釜,2000L,一楼,062-R504,不锈钢
7,储罐,1000L,一楼,062-R505,搪玻璃
8,反应釜,15000L,一楼,062-R506,搪玻璃
9,磷酸储罐,15000L,一楼,062-V401-1,不锈钢
10,磷酸储罐,20000L,一楼,062-V401-2,不锈钢
11,真空缓冲罐,200L,一楼,062-V506-1,Q235A
12,真空缓冲罐,200L,一楼,062-V506-2,Q235A
13,真空缓冲罐,200L,一楼,062-V506-3,碳钢
14,真空缓冲罐,200L,一楼,062-V506-4,碳钢
15,真空缓冲罐,200L,一楼,062-V506-5,碳钢
16,废酸贮槽,10000L,一楼,062-V507-1,不锈钢
17,废酸贮槽,10000L,一楼,062-V507-2,不锈钢
18,方箱,3000L,一楼,062-V508,不锈钢
19,方箱,800*600*300,一楼,062-V509,不锈钢
20,水箱,2500*1000*1000,一楼,062-V510,不锈钢
21,不锈钢储罐,1000L,一楼,062-V511,不锈钢
22,接受罐,500L,一楼,062-V513,不锈钢
23,真空缓冲罐,300L,一楼,062-V515,碳钢
24,过滤器,F=0.1㎡,一楼,062-X502-1,Q235A
25,过滤器,F=0.1㎡,一楼,062-X502-2,Q235A
26,过滤器,F=0.1㎡,一楼,062-X502-3,碳钢
27,过滤器,F=0.1㎡,一楼,062-X502-4,碳钢
28,过滤器,F=0.1㎡,一楼,062-X502-5,碳钢
29,袋式过滤器,30L,一楼,062-X503,不锈钢
30,厢式压滤机,10㎡,一楼,062-X505,组合件
31,螺旋缠绕换热器,QY219.1200.08.10.5,二楼,062-E506,304
