序,设备,报警,设定值,联锁,设定值,
,,,,,,联锁对应动作
号,编号,（,H/L）,（H,H/LL）,
57,,H,450mm,HH,470mm,
58,,H,125℃,HH,130℃,
,091-R302,,,,,联锁关闭夹套蒸汽进切断阀XV_091_R302_01
59,,H,0.08MPa,HH,0.100MPa,
60,,H,105℃,HH,110℃,
,091-R303,,,,,联锁关闭夹套蒸汽进切断阀XV_091_R303_01
61,,H,0.08MPa,HH,0.100MPa,
62,,H,90℃,HH,95℃,
,18413-3,,,,,联锁关闭夹套热水进切断阀XV_18413_3_01
63,,H,0.08MPa,HH,0.100MPa,
64,,H,80℃,HH,85℃,
,18409-5,,,,,联锁关闭夹套热水进切断阀XV_18409-5_01
65,,H,0.08MPa,HH,0.100MPa,
66,,H,103℃,HH,108℃,联锁关闭蒸汽进切断阀XV_132_R202_01，联锁关闭蒸
,132-R202,,,,,
67,,H,0.08MPa,HH,0.100MPa,汽进调节阀TV_132_R202_01
68,,H,130℃,HH,135℃,
69,132-R304,H,0.08MPa,HH,0.100MPa,联锁关闭蒸汽进切断阀XV_132_R304_01
70,,H,750mm,HH,770mm,
71,,H,130℃,HH,135℃,
72,,H,0.08MPa,HH,0.100MPa,
,132-R302,,,,,联锁关闭热水进切断阀XV_132_R302_01
73,,H,1880mm,HH,1900mm,
74,,H,1350mm,HH,1370mm,
6号楼,、7号楼、1,0号楼,二车间IDB,（亚氨,基二苄）蒸馏,釜DCS
1,R301-1,H,155℃,HH,160℃,联锁关闭蒸汽进切断阀XV_R301_1_01，联锁关闭夹套
2,,H,0.120MPa,HH,0.140MPa,蒸汽进调节阀TV_R301_1_01
3,,H,155℃,HH,160℃,联锁关闭蒸汽进切断阀XV_R301_2_01，联锁关闭夹套
,R301-2,,,,,
4,,H,0.120MPa,HH,0.140MPa,蒸汽进调节阀TV_R301_2_01
5,,H,165℃,HH,170℃,
6,,H,0.120MPa,HH,0.140MPa,联锁关闭蒸汽进切断阀XV_R302_1_01，联锁关闭夹套
,R302-1,,,,,
7,,H,750mm,HH,770mm,蒸汽进调节阀TV_R302_1_01
8,,H,750mm,HH,770mm,
9,,H,165℃,HH,170℃,
10,,H,0.120MPa,HH,0.140MPa,联锁关闭蒸汽进切断阀XV_R302_2_01，联锁关闭夹套
,R302-2,,,,,
11,,H,750mm,HH,770mm,蒸汽进调节阀TV_R302_2_01
12,,H,750mm,HH,770mm,
13,,H,265℃,HH,270℃,
,R303-1,,,,,联锁关闭导热油进切断阀XV_R303_1_01
14,,H,0.120MPa,HH,0.140MPa,
15,,H,265℃,HH,270℃,
,R303-2,,,,,联锁关闭导热油进切断阀XV_R303_2_01
16,,H,0.120MPa,HH,0.140MPa,
17,,H,265℃,HH,270℃,
,R303-3,,,,,联锁关闭导热油进切断阀XV_R303_3_01
18,,H,0.120MPa,HH,0.140MPa,
19,V307-1,H,145℃,HH,150℃,联锁关闭蒸汽进切断阀XV_V307_1_01
