序,,,,,,,外部,下次外部
号,设备名称,使用证编号,使用部门,内部编号,材质,规格型号,检验日期,检验日期
138,搪玻璃开式反应罐,容17浙J22207(23),10号楼三车间四楼,101-R602,搪玻璃,2000L,2023/7/12,2026/7/11
139,搪玻璃开式反应罐,容15浙J21922(22),10号楼三车间四楼,101-R603,搪玻璃,2000L,2021/4/30,2024/4/30
140,多功能过滤器壳体,容15浙J23284(22),三车间10号楼,101-X401,不锈钢,GXG2400,2021/7/10,2024/7/11
141,NYB过滤机,容15浙J22706(22),三车间10号楼四楼,101-X602,不锈钢,7㎡,2021/4/9,2024/4/8
142,多功能过滤器壳体,容15浙J22705(22),三车间10号楼,101-X601,组合件,GXG1200,2021/6/17,2024/6/16
143,空气储罐,容17浙J19771(22),10号楼三车间一楼,101-V418-1,不锈钢,300L,2021/5/25,2024/5/24
144,空气储罐,容17浙J19772(22),三车间10号楼,V419-1,不锈钢,300L,2021/6/4,2024/6/3
145,空气储罐,容17浙J19774(22),三车间10号楼,V419-2,不锈钢,300L,2021/6/4,2024/6/3
146,再沸器,容17浙J19769(22),三车间10号楼,E502,不锈钢,11.4㎡,2021/4/16,2024/4/15
147,过滤洗涤干燥机,容16浙JO0196(14),10号楼三车间三楼,101-X402,组合件,GXG1200,2022/8/2,2025/8/1
148,多功能过滤机,容15浙JOA025(15),12号楼三车间精制一楼,121-X401,组合件,GXG2400,2023/1/16,2026/2/9
149,搪玻璃反应釜,容17浙J10209(17),12号楼三车间精制二楼,R701,搪玻璃,2000L,2022/2/20,2025/3/13
150,不锈钢反应釜,容17浙J13147(19),12号楼三车间精制二楼,R406,不锈钢,3500L,2022/2/20,2025/3/28
151,不锈钢反应釜,容17浙J13150(19),12号楼三车间精制二楼,R407,不锈钢,3500L,2022/2/20,2025/3/28
152,碳钢反应釜,容17浙JOA677(16),12号楼三车间水解二楼,R402-4,碳钢,3000L,2022/7/23,2025/8/17
153,碳钢反应釜,容17浙JOA681(16),12号楼三车间水解二楼,R402-5,碳钢,3000L,2022/7/23,2025/8/22
154,碳钢反应釜,容17浙J13876(20),12号楼三车间水解二楼,R402-1,碳钢,3000L,2022/7/23,2025/7/29
155,碳钢反应釜,容17浙J13142(19),12号楼三车间水解二楼,R402-3,碳钢,3000L,2022/7/23,2025/7/29
156,碳钢反应釜,容17浙J13877(20),12号楼三车间水解二楼,R402-9,碳钢,3000L,2022/7/23,2025/7/29
157,碳钢反应釜,容17浙J13146(19),12号楼三车间水解二楼,R402-11,碳钢,3000L,2022/7/23,2025/7/29
158,搪玻璃反应釜,容17浙J15031(20),12号楼三车间精制二楼,R601,搪玻璃,3000L,2021/11/12,2024/12/12
159,碳钢反应釜,容17浙J11767(18),12号楼三车间水解二楼,R402-10,碳钢,3000L,2021/3/3,2024/3/5
,搪玻璃开式反应罐（铁,,,,搪玻璃（铁,,,
160,,,,,,,,
,,容17浙J16022(21),12号楼三车间水解二楼,R402-2,,3000L,2021/4/10,2024/4/9
,坯）,,,,坯）,,,
