"序
号",建构筑物名称,"层
数","占地面
积m2","建筑面
积m2",结构,"耐火
等级","火险
类别",备注
21,"闲置车间
（18号楼）",3,538,1516,框架,二级,丙类,
22,"辅助用房
（17号楼）",3,460,1267,框架,二级,丁类,"生产辅助、五金仓
库、浴室"
23,"成品仓库
（11号楼）",4,393.6,1574.4,框架,二级,丙类,"固体原料及成品仓
库"
24,总控室,1,78.2,78.2,框架,二级,—,
25,埋地自来水池,—,140,—,—,—,—,
26,"事故应急池
（地下）",—,42,—,—,—,—,
