序名,设备名称,规格型号,安装位置,设备编号,备注
27,冷却罐,600L,一楼,071-V806,不锈钢
28,真空缓冲罐,300L,一楼,071-V808-2,不锈钢
29,真空缓冲罐,300L,一楼,071-V808-1,不锈钢
30,接受罐,200L,一楼,071-V809,不锈钢
31,氮气缓冲罐,300L,一楼,071-V812,碳钢
32,泄爆罐,1000L,一楼,071-V813,碳钢
33,氮气缓冲罐,300L,一楼,071-V814,不锈钢
34,冷井,2000L,一楼,071-V815,不锈钢
35,地槽,2000*1000*1000,一楼,071-V901,不锈钢
36,回收甲苯储罐,4000L,一楼,071-V902,不锈钢
37,方箱,1000*1000*2000,一楼,071-V903,不锈钢
38,立式储罐,6000L,一楼,071-V904,不锈钢
39,甲苯接受罐,1000L,一楼,071-V905,碳钢
40,计量罐,500L,一楼,071-V906,不锈钢
41,储罐,5000L,一楼,071-V907,不锈钢
42,蒸汽冷凝水罐,500L,一楼,071-V909,搪玻璃
43,方箱,,一楼,071-V910,不锈钢
44,真空缓冲罐,,一楼,071-V912,不锈钢
45,接受罐,,一楼,071-V913,不锈钢
46,结晶罐,2000L,二楼,071-R802-1,不锈钢
47,结晶罐,2000L,二楼,071-R802-2,不锈钢
48,蒸馏罐,KR3000,二楼,071-R901,搪玻璃
49,母液蒸馏罐,KR3000,二楼,071-R903,搪玻璃
50,蒸馏结晶罐,KR2000,二楼,071-R906,搪玻璃
51,萃取罐,KR3000,二楼,071-R907-1,搪玻璃
52,萃取罐,KR3000,二楼,071-R907-2,搪玻璃
53,管道过滤器,0.14m³,二楼,071-X801-1,不锈钢
54,管道过滤器,0.14m³,二楼,071-X801-2,不锈钢
55,溶解罐,KR3000,三楼,071-R801-1,搪玻璃
56,溶解罐,3000L,三楼,071-R801-2,搪玻璃
57,中转罐,KR2000,三楼,071-R902,搪玻璃
58,反应罐,3000L,三楼,071-R904,搪玻璃
59,中转罐,2000L,三楼,071-R905,搪玻璃
60,磷酸高位槽,450L,三楼,071-V802,不锈钢
61,卧式储罐,1000L,三楼,071-V911-1,不锈钢
62,卧式储罐,1000L,三楼,071-V911-2,不锈钢
63,溶解过滤器,2000L,三楼,071-X810,不锈钢
7号楼五车间（水解）,,,,,
