序号,物料名称,健康危害
1,氢,"在很高的浓度时，由于正常氧分压的降低造成窒息；在很高的分压下，可
出现麻醉作用。"
2,氮,"氮气过量，使氧分压下降，会引起缺氧。大气压力为392kPa表现爱笑和多
言，对视、听和嗅觉刺激迟钝，智力活动减弱；在980kPa时，肌肉运动严
重失调。潜水员深潜时，可发生氮的麻醉作用；上升时快速减压，可发生“减
压病”。"
3,甲苯,"对皮肤、粘膜有刺激作用，对中枢神经系统有麻醉作用；长期作用可影响
肝、肾功能。
急性中毒：病人有咳嗽、流泪、结膜充血等；重症者有幻觉、谵妄、神志
不清等，有的有癔病样发作。"
4,甲醇,"对呼吸道及胃肠道粘膜有刺激作用，对血管神经有毒作用，引起血管痉挛，
形成瘀血或出血；对视神经和视网膜有特殊的选择作用，使视网膜因缺乏
营养而坏死。急性中毒：表现以神经系统症状、酸中毒和视神经炎为主，
可伴有粘膜刺激症状。病人有头痛、头晕、乏力、恶心、狂燥不安、共济
失调、眼痛、复视或视物模糊，对光反应迟钝，可因视神经炎的发展而失
明等。"
5,乙醇,"人长期口服中毒剂量的乙醇，可见到肝、心肌脂肪浸润，慢性软脑膜炎和
慢性胃炎。对中枢神经系统的作用，先作用于大脑皮质，表现为兴奋，最
后由于延髓血管运动中枢和呼吸中枢受到抑制而死亡，呼吸中枢麻痹是致
死的主要原因。急性中毒：表现分兴奋期、共济失调期、昏睡期，严重者
深度昏迷。血中乙醇浓度过高可致死。慢性影响：可引起头痛、头晕、易"
