序号,专职安管员配置人数,依据,是否满足要求
1,"矿山、建筑施工单位和危险物品的生产、经营、储
存单位，应当设置安全生产管理机构或者配备专职
安全生产管理人员。
前款规定以外的其他生产经营单位，从业人员超
过三百人的，应当设置安全生产管理机构或者配备
专职安全生产管理人员；从业人员在三百人以下的，
应当配备专职或者兼职的安全生产管理人员，或者
委托具有国家规定的相关专业技术资格的工程技术
人员提供安全生产管理服务。
生产经营单位依照前款规定委托工程技术人员提
供安全生产管理服务的，保证安全生产的责任仍由
本单位负责。","《中华人民共和
国安全生产法》","设置了安环部，
配备专职安管
员10人，符合。"
2,"危险物品的生产、经营、储存、装卸单位应当按照
下列规定设置安全生产管理机构、配备专职安全生
产管理人员：
①从业人员不足五十人的，应当配备专职安全生产
管理人员；
②从业人员五十人以上不足一百人的，应当设置安
全生产管理机构，并配备两名以上专职安全生产管
理人员；
③从业人员一百人以上不足三百人的，应当设置安
全生产管理机构，并配备三名以上专职安全生产管
理人员；
④从业人员三百人以上的，应当设置安全生产管理
机构，并按照不低于从业人员百分之一的比例配备
专职安全生产管理人员。","《浙江省安全生
产条例》","按要求配备专
职安管员10人，
并配备了注册
安全工程师，符
合。"
