"矩阵风
险评估",严重度,1,1
,可能性,1,1
,等级,1,1
"反应工
艺危险
等级评
估",Tp（℃）,50,30
,MTSR（℃）,69.14,53.73
,MTT（℃）,77,56
,"T （℃）
D24",119.6,105
,等级,1,1
