序名,设备名称,规格型号,安装位置,设备编号,备注
57,反应釜,K2000L,四楼,101-R603,碳钢内衬搪玻璃
58,反应釜,2000L,四楼,101-R604,S304
59,反应釜,2000L,四楼,101-R605,S304
60,储罐,100L,四楼,101-V413-1,S304
61,储罐,100L,四楼,101-V413-2,S304
62,储罐,100L,四楼,101-V413-3,S304
63,储罐,100L,四楼,101-V413-4,S304
64,储罐,100L,四楼,101-V413-5,S304
65,储罐,100L,四楼,101-V413-6,S304
66,储罐,100L,四楼,101-V604,S304
67,泄爆罐,4000L,楼顶,101-V407,S304
68,储罐,200L,楼顶,101-V416-1,
69,储罐,200L,楼顶,101-V416-2,
70,储罐,200L,楼顶,101-V416-3,
71,储罐,200L,楼顶,101-V416-4,
72,立式真空缓冲罐,200L,楼顶,101-V416-5,S304
73,不锈钢卧式储罐,300L,楼顶,101-V417-1,S30408
74,不锈钢卧式储罐,300L,楼顶,101-V417-2,S30408
75,不锈钢卧式储罐,300L,楼顶,101-V417-3,S30408
76,不锈钢卧式储罐,300L,楼顶,101-V417-4,S30408
77,立式真空缓冲罐,200L,楼顶,101-V417-5,S30408
78,立式储罐,300L,楼顶,101-V515,304
79,卧式储罐,300L,楼顶,101-V516,304
13号楼一车间（杂环回收）,,,,,
1,回收液碱储罐,4000L,一楼,131-18403-3,不锈钢304
2,"平板式密闭上卸料
衬塑离心机",PB1000,一楼,131-18411-3,衬塑
3,接受罐,500L,一楼,131-18416-3,搪玻璃
4,立式储罐,5000L,一楼,131-18417-3,碳钢
5,接受罐,300L,一楼,131-18426-3,搪玻璃
6,双锥真空干燥机,500L,一楼,131-18428-1,不锈钢
7,热水罐,500L,一楼,131-18432-2,Q235B
8,氮封缓冲罐,300L,一楼,131-18442-1,不锈钢
9,氮气缓冲罐,300L,一楼,131-18442-2,不锈钢
10,热水罐,500L,一楼,131-18515,不锈钢
11,方箱,1000*1000*800,一楼,131-18516,不锈钢
12,方箱,700*1000*1000,一楼,131-18518,不锈钢
13,反应罐,FR5000,二楼,131-18402-3,Q235B
14,反应釜,KR2000,二楼,131-18406-3,搪玻璃
