"序
号",检查内容,检查标准,"检查
结果",备注
一、机构设置及从业人员,,,,
1,"生产经营单位的主要负责人对本单位的安
全生产工作全面负责。",《安全生产法》第五条,符合,"总经理全面负
责。"
2,"危险化学品的生产、经营、储存单位，应
当设置安全生产管理机构或者配备专职安
全生产管理人员。","《安全生产法》
第十九条",符合,"设有安全管理
机构，配备了专
职安全管理员。"
3,"企业主要负责人、分管安全负责人和安
全生产管理人员必须具备与其从事的生产
经营活动相适应的安全生产知识和管理能
力，依法参加安全生产培训，并经考核合
格，取得安全资格证书。
企业分管安全负责人、分管生产负责人、
分管技术负责人应当具有一定的化工专业
知识或者相应的专业学历，专职安全生产
管理人员应当具备国民教育化工化学类
（或安全工程）中等职业教育以上学历或
者化工化学类中级以上专业技术职称，或
者具备危险物品安全类注册安全工程师资","《危险化学品生产企
业安全生产许可证实
施办法》
第十六条",符合,"主要负责人、安
全管理员、压力
容器操作工、危
险化学品操作
工持证上岗。
分管负责人多
年从事化工生
产工作经历，技
术负责人从事
本行业多年，专
职安全管理员
中专以上学历。"
