17,"在有较大危险因素的生产场所和有关设施、设
备上应设置明显的安全警示标志。","生产现场设置有明显的安全警
示标志。",符合
18,"应对危险化学品按照标准分区、分类、分库存
放，不得超量、超品种以及相互禁忌物质混放
混存。","企业危险化学品储存符合相关
规范要求。",符合
19,"企业应提供化学品安全技术说明书，且应在包
装（包括外包装件）上粘贴、栓挂化学品安全
标签。","持有所涉及危险化学品的安全
标签及安全技术说明书。",符合
20,"企业应按要求编制《事故应急救援预案》、重
点岗位应急处置卡，并定期开展演练。","制定有应急预案，定期进行演
练。",符合
21,企业应实行领导干部带班（值班）制度。,"制定有《领导干部现场带班制
度》并有效执行。",符合
22,"企业应按照有关规定提取和使用安全生产费
用，并建立使用台帐。","制定有安全生产费用投入使用
制度，建有台账。",符合
23,"企业应加强承包商管理，建立承包商档案，与
承包商签订安全生产管理协议，对承包商开展
安全职业健康知识培训并有记录。",有承包商相关安全管理要求。,符合
24,"企业应加强变更管理，开展变更安全风险分
析，制定控制措施，履行审批验收程序。","制定有变更管理制度，并能够
按照制度有效执行。",符合
25,"企业应定期开展隐患排查治理，及时发现并消
除隐患，实行隐患闭环管理。","制定有隐患排查制度，建有隐
患台账，闭环管理。",符合
26,企业应依法进行危险化学品登记。,"已按要求进行危险化学品登
记。",符合
27,"企业生产区与非生产区应分开设置，并符合国
家标准或者行业标准规定距离。","生产区与非生产区分区域设
置，距离符合规范要求。",符合
28,"新、改、扩建危险化学品建设项目应严格执行
“三同时”有关规定，安全设施未经竣工验收合
格，不得投入生产和使用。",本次评价为现状评价。,——
29,"在存在有毒气体的区域应配备便携式检测仪、
空气呼吸器等器材。","企业配备有便携式检测仪等器
材。",符合
30,"危险化学品应储存在专用仓库内，并由专人负
责管理；剧毒化学品应在专用仓库内单独存
放，并实行“五双”（双人验收、双人保管、双
人发货、双把锁、双本帐）管理。","企业使用到的危险化学品储存
在专用仓库和罐区内，不涉及
剧毒化学品。",符合
