"序
号",检查项目,依据,"结
果",现状情况
16,"除个别用于值班的倒班宿舍外，新建化工企
业不宜在厂区内设置员工宿舍等与生产保
障无直接相关的生活辅助设施。","指导意见
第八条","符
合","厂区内不设置员工宿舍
等与生产保障无直接相
关的生活辅助设施。"
17,"园区或企业的事故应急池，应急事故水池容
量应根据发生事故的设备容量、事故时的消
防用水量及可能进入应急事故水池的降水
量等因素综合确定。","指导意见
第九条","符
合","消防废水池考虑事故时
的消防用水量等因素综
合确定。"
18,"厂区道路应根据交通、消防和分区和要求合
理布置，力求顺通。危险场所应为环行，路
面宽度按交通密度及安全因素确定，保证消
防、急救车辆畅行无阻。",HG20571-2014,"符
合","厂区道路平整、畅通无
阻。"
19,"道路两侧和上下接近的建、构筑物必须满足
有关净距和建筑限界要求。",HG20571-2014,"符
合","道路有足够的净宽度和
净高度。"
20,"厂内道路布置在符合厂区总平面布置的前
提下，尚应符合下列要求：
1应满足生产、交通运输、消防、安全、施
工、安装及检修的要求。
2 全厂道路网的布置应与厂区总平面布置
功能分区和街区划分结合，并与场地竖向设
计和主要管线带的走向相协调，且宜与主要
建筑物、构筑物轴线平行或垂直布置。
3主、次干道布置和人、货流向应合理。
4厂内道路不宜中断，当出现尽头时，其终
端应设置回车场，回车场面积应根据所通行
的车辆最小转弯半径和路面宽度确定。
5 厂内道路与厂外公路的衔接应短捷、畅
通。
6厂内道路布置应符合现行国家标准《厂矿
道路设计规范》GBJ22、《建筑设计防火规
范》GB50016、《石油化工企业设计防火规
范》GB50160的规定。","GB50489-2009
9.3.1","符
合",厂区合理、畅通、有序。
21,"危险化学品生产装置或者储存数量构成重
大危险源的危险化学品储存设施（运输工具
加油站、加气站除外），与下列场所、设施、
区域的距离应当符合国家有关规定：
（一）居住区以及商业中心、公园等人员密
集场所；
（二）学校、医院、影剧院、体育场（馆）
等公共设施；
（三）饮用水源、水厂以及水源保护区；
（四）车站、码头（依法经许可从事危险化
学品装卸作业的除外）、机场以及通信干线、
通信枢纽、铁路线路、道路交通干线、水路
交通干线、地铁风亭以及地铁站出入口；
（五）基本农田保护区、基本草原、畜禽遗
传资源保护区、畜禽规模化养殖场（养殖小
区）、渔业水域以及种子、种畜禽、水产苗
种生产基地；","危险化学品安
全管理条例
第十九条","符
合","企业危险化学品重大危
险源与周围八类场所、
设施、区域的距离符合
要求。"
