,等级,1,1,1,1
"反应工
艺危险
等级评
估",Tp（℃）,40,70,5,50
,MTSR（℃）,109.61,98.8,76.83,67.02
,MTT（℃）,120,100,100,77
,"T （℃）
D24",＞200,125.9,＞200,142.4
,等级,1,1,1,1
