序名,设备名称,规格型号,安装位置,设备编号,备注
33,反应釜,2000L,三楼,093-R701-1,搪玻璃
34,反应釜,2000L,三楼,093-R701-2,搪玻璃
35,反应釜,5000L,三楼,093-R703-1,搪玻璃
36,反应釜,5000L,三楼,093-R703-2,搪玻璃
37,反应釜,2000L,三楼,093-R704,搪玻璃
38,防爆电子地上衡,SCS-300,三楼,093-W702,
10号楼二车间（精制）,,,,,
1,螺旋缠绕换热器,10㎡,一楼,103-E603-1,不锈钢
2,螺旋缠绕换热器,10㎡,一楼,103-E603-2,不锈钢
3,破碎机,PSJ-200,一楼,103-M601-1-1,不锈钢
4,破碎机,PSJ-200,一楼,103-M601-1-2,不锈钢
5,振动筛,ZS800-1,一楼,103-M601-3-1,不锈钢
6,振动筛,ZS800-2,一楼,103-M601-3-2,不锈钢
7,称重包装装置,TCAZ-400,一楼,103-M601-6,不锈钢
8,储罐,1000L,一楼,103-V601,不锈钢（S30408）
9,热水罐,300L,一楼,103-V604,搪玻璃
10,储罐,300L,一楼,103-V606-1,不锈钢
11,储罐,300L,一楼,103-V606-2,不锈钢
12,储罐,1000L,一楼,103-V607,不锈钢（S30408)
13,真空缓冲罐,600L,一楼,103-V608-1,不锈钢
14,真空缓冲罐,600L,一楼,103-V608-2,不锈钢
15,真空缓冲罐,300L,一楼,103-V612,不锈钢
16,空压储罐,200L,一楼,103-V613,不锈钢
17,氮气缓冲罐,300L,一楼,103-V616-1,碳钢
18,氮封缓冲罐,300L,一楼,103-V616-2,不锈钢
19,储罐,1000L,一楼,103-V620-1,不锈钢
20,储罐,1200L,一楼,103-V620-2,碳钢
21,储罐,5000L,一楼,103-V702,不锈钢
22,快压式过滤包,φ 600,一楼,103-X601-1,不锈钢
23,快压式过滤包,φ 600,一楼,103-X601-2,不锈钢
24,精密过滤器,,一楼,103-X602,不锈钢
25,快开式过滤器,200L,一楼,103-X607,304
26,过滤洗涤干燥机,GXG-2600,一楼,103-X614-1,不锈钢
27,过滤洗涤干燥机,GXG-2600,一楼,103-X614-2,不锈钢
28,高位料仓,4000L,二楼,103-M601-2-1,不锈钢
29,高位料仓,2000L,二楼,103-M602-2-2,不锈钢
30,真空输送设备,VP-430,二楼,103-M601-4,不锈钢
31,称重储料罐,ZJC-300,二楼,103-M601-5,不锈钢
