"序
号",物料名称,外观,"燃烧
性","火险
类别",闪点℃,"自燃温
度℃","爆炸极限
（V％）"
1,氢,无色无臭气体,易燃,甲,<-50,400,4.1～74.1
2,氮,无色无臭气体,不燃,戊,无意义,无意义,无意义
3,甲苯,"无色透明液体，有类似苯
的芳香气味",易燃,甲,4,353,1.2～7.0
4,甲醇,"无色澄清液体，有刺激性
气味",易燃,甲,11,385,5.5～44.0
