"序
号",检查项目,依据,"结
果",现状情况
1,"厂址选择应符合国家工业布局和当地城镇
总体规划及土地利用总体规划的要求。厂址
选择应严格执行国家建设前期工作的有关
规定。","GB50489-2009
3.1.1","符
合","企业厂址周边均为工业
企业。"
2,"厂址选择应同时满足运输设施、能源和动力
设施、防洪设施、环境保护工程及生活等配
套建设用地的要求。","GB50489-2009
3.1.4","符
合","满足运输设施、能源和
动力设施、防洪设施、
环境保护工程及生活等
配套的要求。"
3,"厂址宜靠近主要原料和能源供应地、产品主
要销售地及协作条件好的地区。","GB50489-2009
3.1.5","符
合",蒸汽由园区统一供应。
4,"厂址应具有方便和经济的交通运输条件。临
江、河、湖、海的厂址，通航条件能满足工
厂运输要求时，应充分利用水路运输，且厂
址宜靠近适于建设码头的地段。","GB50489-2009
3.1.6","符
合","交通运输方便，原料及
产品均采用公路运输。"
5,"厂址应有充足、可靠的水源和电源，且应满
足企业发展需要。","GB50489-2009
3.1.7","符
合","有满足生产、生活条件
所需要的电源、水源。"
6,"厂址应位于城镇或居住区的全年最小频率
风向的上风侧。","GB50489-2009
3.1.8","符
合",
7,"可能散发有害气体工厂的厂址，应避开易形
成逆温层及全年静风频率较高的区域。","GB50489-2009
3.1.9","符
合","厂址所在地自然通风良
好。"
8,"事故状态泄漏或散发有毒、有害、易燃、易
爆气体工厂的厂址，应远离城镇、居住区、
公共设施、村庄、国家和省级干道、国家和
地方铁路干线、河海港区、仓储区、军事设
施、机场等人员密集场所和国家重要设施。","GB50489-2009
3.1.10","符
合","厂址与城镇、居住区、
公共设施、村庄、国家
和省级干道、国家和地
方铁路干线、河海港区、
仓储区、军事设施、机
场等人员密集场所和国
家重要设施可保持安全
距离。"
