序号,检查内容,实际情况,"是否
符合",备注
一、企业总体布局合理性,,,,
1,"企业布局是否符合当地县级（含县级）以上
人民政府以上规划和布局。","位于成熟化工园区内
的化工企业。",符合,
2,"危险化学品生产装置或者储存数量构成重
大危险源的危险化学品储存设施，与下列场
所、设施、区域的距离应当符合国家有关规
定：
（一）居住区以及商业中心、公园等人员密
集场所；
（二）学校、医院、影剧院、体育场（馆）
等公共设施；
（三）饮用水源、水厂以及水源保护区；
（四）车站、码头（依法经许可从事危险化
学品装卸作业的除外）、机场以及通信干线、
通信枢纽、铁路线路、道路交通干线、水路
交通干线、地铁风亭以及地铁站出入口；
（五）基本农田保护区、基本草原、畜禽遗
传资源保护区、畜禽规模化养殖场（养殖小
区）、渔业水域以及种子、种畜禽、水产苗
种生产基地；
（六）河流、湖泊、风景名胜区、自然保护
区；
（七）军事禁区、军事管理区；","与相关场所距离符合
规范要求。",符合,
