序名,设备名称,规格型号,安装位置,设备编号,备注
29,反应罐,3000L,三楼,132-R302,搪玻璃
30,反应罐,2000L,三楼,132-R303,搪玻璃
31,反应罐,2000L,三楼,132-R304,搪玻璃
32,滴加罐,300L,三楼,132-V301,316L
33,滴加罐,300L,三楼,132-V303,不锈钢
34,卧式储罐,500L,三楼,132-V304,304
35,滴加罐,1000L,三楼,132-V305,碳钢
36,方箱,600*600*600,三楼,132-V306,PP
13号楼三车间（废水回收）,,,,,
1,甲苯尾气吸收塔,"塔ф1400*8500
水箱ф1800*2000",一楼,133-T004,PP塑料
2,溴化尾气吸收塔,"塔ф1500*8500
水箱ф1800*2000",一楼,133-T005,PP塑料
3,不锈钢方箱,1200*1000*600,一楼,133-V001,不锈钢
4,冷井储罐,2000L,一楼,133-V002,不锈钢
5,立式储罐,300L,一楼,133-V004,不锈钢
6,卧式储罐,300L,一楼,133-V101,不锈钢
7,真空缓冲罐,300L,一楼,133-V102-1,不锈钢
8,卧式储罐,300L,一楼,133-V103-1,不锈钢
9,卧式储罐,300L,一楼,133-V103-2,不锈钢
10,立式储罐,300L,一楼,133-V218,不锈钢
11,储罐,1000L,一楼,133-V304,不锈钢
12,立式储罐,3000L,一楼,133-V701,不锈钢
13,立式储罐,3000L,一楼,133-V702,不锈钢
14,地槽,1300*1000*550,一楼,133-V703,不锈钢
15,平板式离心机,PS1000,一楼,133-X702,不锈钢
16,快开式过滤器,200L,一楼,133-X703,304
17,反应釜,20000L,二楼,133-R703-1,搪玻璃
18,反应釜,20000L,二楼,133-R703-3,搪玻璃
19,反应釜,20000L,二楼,133-R704,搪玻璃
20,反应釜,6000L,三楼,133-R701-1,不锈钢
21,反应釜,6000L,三楼,133-R701-2,不锈钢
22,反应釜,6000L,三楼,133-R701-3,不锈钢
23,反应釜,2000L,三楼,133-R702,搪玻璃
14号楼（一车间氯化锌回收）,,,,,
1,电动行车,2吨,一楼,141-L601,组合件
2,卧式储罐,200L,一楼,141-V603-1,不锈钢
3,真空缓冲罐,300L,一楼,141-V604-1,不锈钢
4,不锈钢方箱,4500*1500*2000,一楼,141-V605,
